ID	ONTOLOGY	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	Count	genes	genes_ensembl
GO:0016020	CC	membrane	14/17	347/656	0.011143561770544675	0.02438968236572042	0.012172708984706201	14	ATP5MC1, CD1D, DGKQ, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, LMF1, PIGZ, SLC30A3, SLC41A3, SLC45A1, TRIM4, UVSSA	ENSG00000159199, ENSG00000158473, ENSG00000145214, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000103227, ENSG00000119227, ENSG00000115194, ENSG00000114544, ENSG00000162426, ENSG00000146833, ENSG00000163945
GO:0016021	CC	integral component of membrane	11/17	175/656	9.718288110714077e-4	0.004697172586845137	0.0023443238863564662	11	ATP5MC1, CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, LMF1, PIGZ, SLC30A3, SLC41A3, SLC45A1	ENSG00000159199, ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000103227, ENSG00000119227, ENSG00000115194, ENSG00000114544, ENSG00000162426
GO:0019882	BP	antigen processing and presentation	5/18	21/632	1.5922619441332157e-4	0.03114971564911018	0.02992727635535983	5	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0019884	BP	antigen processing and presentation of exogenous antigen	4/18	16/632	6.8107728189011e-4	0.039015998576847725	0.03748485491304967	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0030133	CC	transport vesicle	5/17	27/656	3.55328015762068e-4	0.0021724288336127788	0.0010842430657777027	5	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0030134	CC	COPII-coated ER to Golgi transport vesicle	4/17	12/656	1.3544863436431122e-4	0.0018404821460148099	9.185709440182809e-4	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0030135	CC	coated vesicle	4/17	26/656	0.003260073419022577	0.009775655109706714	0.004878956724445275	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0030136	CC	clathrin-coated vesicle	3/17	17/656	0.007867215606435132	0.017894059026401475	0.00893079171009148	3	HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0030139	CC	endocytic vesicle	4/17	23/656	0.0020275077041848047	0.0069737731326514965	0.0034805582785465724	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0030176	CC	integral component of endoplasmic reticulum membrane	4/17	14/656	2.6519595603732545e-4	0.0021724288336127788	0.0010842430657777027	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0030658	CC	transport vesicle membrane	5/17	17/656	3.18665978393076e-5	0.0018404821460148099	9.185709440182809e-4	5	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0030659	CC	cytoplasmic vesicle membrane	5/17	39/656	0.002095331363336898	0.0069737731326514965	0.0034805582785465724	5	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0030660	CC	Golgi-associated vesicle membrane	4/17	18/656	7.598596692343761e-4	0.004197320077675601	0.0020948512184406367	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0030662	CC	coated vesicle membrane	4/17	23/656	0.0020275077041848047	0.0069737731326514965	0.0034805582785465724	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0030665	CC	clathrin-coated vesicle membrane	3/17	14/656	0.0044213620117004955	0.011927395194354824	0.005952874189560031	3	HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0030666	CC	endocytic vesicle membrane	4/17	18/656	7.598596692343761e-4	0.004197320077675601	0.0020948512184406367	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0031090	CC	organelle membrane	8/17	135/656	0.011938317343213187	0.02564527429282833	0.012799365572645717	8	ATP5MC1, CD1D, DGKQ, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000159199, ENSG00000158473, ENSG00000145214, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0031224	CC	intrinsic component of membrane	11/17	182/656	0.0014021100293540923	0.005608440117416369	0.0027991307301079888	11	ATP5MC1, CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, LMF1, PIGZ, SLC30A3, SLC41A3, SLC45A1	ENSG00000159199, ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000103227, ENSG00000119227, ENSG00000115194, ENSG00000114544, ENSG00000162426
GO:0031226	CC	intrinsic component of plasma membrane	4/17	31/656	0.006324537924207622	0.014972375494042532	0.0074726011993860204	4	CD1D, HLA-DQA1, HLA-DQA2, SLC30A3	ENSG00000158473, ENSG00000196735, ENSG00000237541, ENSG00000115194
GO:0031227	CC	intrinsic component of endoplasmic reticulum membrane	4/17	15/656	3.558288606779551e-4	0.0021724288336127788	0.0010842430657777027	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0031410	CC	cytoplasmic vesicle	7/17	95/656	0.006086153846842221	0.01483478751413099	0.007403932062406575	7	CD1D, DGKQ, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000145214, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0031984	CC	organelle subcompartment	7/17	85/656	0.0031566688149107878	0.009775655109706714	0.004878956724445275	7	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, LMF1, PIGZ	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000103227, ENSG00000119227
GO:0032588	CC	trans-Golgi network membrane	3/17	11/656	0.0021041556865758824	0.0069737731326514965	0.0034805582785465724	3	HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0033218	MF	amide binding	4/16	21/640	0.0012128949244886564	0.017283752673963353	0.016597509493002666	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0034341	BP	response to interferon-gamma	4/18	14/632	3.884004445026207e-4	0.03114971564911018	0.02992727635535983	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0042175	CC	nuclear outer membrane-endoplasmic reticulum membrane network	7/17	59/656	3.191882597670411e-4	0.0021724288336127788	0.0010842430657777027	7	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, LMF1, PIGZ	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000103227, ENSG00000119227
GO:0042277	MF	peptide binding	4/16	18/640	6.493671262745299e-4	0.012337975399216067	0.011848101953079143	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0042605	MF	peptide antigen binding	4/16	10/640	5.036889328433647e-5	0.0014355134586035894	0.0013785170793607876	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0042611	CC	MHC protein complex	4/17	11/656	9.17689216369542e-5	0.0018404821460148099	9.185709440182809e-4	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0044425	CC	membrane part	11/17	238/656	0.014990124213577526	0.03161553470499987	0.01577907811955529	11	ATP5MC1, CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, LMF1, PIGZ, SLC30A3, SLC41A3, SLC45A1	ENSG00000159199, ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000103227, ENSG00000119227, ENSG00000115194, ENSG00000114544, ENSG00000162426
GO:0044432	CC	endoplasmic reticulum part	7/17	73/656	0.0012438396998601853	0.0052158105973101505	0.002603172258185647	7	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, LMF1, PIGZ	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000103227, ENSG00000119227
GO:0044433	CC	cytoplasmic vesicle part	6/17	67/656	0.004552308263294729	0.012001539966867921	0.005989879293808855	6	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0044437	CC	vacuolar part	5/17	32/656	8.190155527976907e-4	0.004318445642024187	0.0021553040863097122	5	CD1D, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0044440	CC	endosomal part	6/17	36/656	1.4279602857011456e-4	0.0018404821460148099	9.185709440182809e-4	6	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0044459	CC	plasma membrane part	6/17	79/656	0.01051041636952327	0.023446313439705754	0.011701880573355868	6	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0045087	BP	innate immune response	6/18	36/632	2.525906897003621e-4	0.03114971564911018	0.02992727635535983	6	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, TRIM4	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000146833
GO:0060333	BP	interferon-gamma-mediated signaling pathway	4/18	12/632	1.991383805444402e-4	0.03114971564911018	0.02992727635535983	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0071346	BP	cellular response to interferon-gamma	4/18	14/632	3.884004445026207e-4	0.03114971564911018	0.02992727635535983	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0071556	CC	integral component of lumenal side of endoplasmic reticulum membrane	4/17	11/656	9.17689216369542e-5	0.0018404821460148099	9.185709440182809e-4	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0071944	CC	cell periphery	10/17	176/656	0.0048618526355993195	0.012532775682878246	0.0062550150867359666	10	CD1D, DGKQ, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3, SLC41A3, TRIM4, UVSSA	ENSG00000158473, ENSG00000145214, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194, ENSG00000114544, ENSG00000146833, ENSG00000163945
GO:0097708	CC	intracellular vesicle	7/17	95/656	0.006086153846842221	0.01483478751413099	0.007403932062406575	7	CD1D, DGKQ, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000145214, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0098552	CC	side of membrane	4/17	22/656	0.0017023288318668993	0.006582338149885344	0.003285195991322087	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0098553	CC	lumenal side of endoplasmic reticulum membrane	4/17	11/656	9.17689216369542e-5	0.0018404821460148099	9.185709440182809e-4	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0098588	CC	bounding membrane of organelle	6/17	95/656	0.02550251212122946	0.049605588786298845	0.024757780247245342	6	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0098791	CC	Golgi subcompartment	4/17	46/656	0.02565806316532699	0.049605588786298845	0.024757780247245342	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0098793	CC	presynapse	2/17	10/656	0.02519172020796617	0.049605588786298845	0.024757780247245342	2	DGKQ, SLC30A3	ENSG00000145214, ENSG00000115194
GO:0098796	CC	membrane protein complex	5/17	43/656	0.0032866426661944986	0.009775655109706714	0.004878956724445275	5	ATP5MC1, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000159199, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0098797	CC	plasma membrane protein complex	4/17	24/656	0.0023937834324038697	0.007713302171079136	0.0038496517187781537	4	HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5	ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502
GO:0098805	CC	whole membrane	6/17	71/656	0.006138532764467996	0.01483478751413099	0.007403932062406575	6	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
GO:0098827	CC	endoplasmic reticulum subcompartment	7/17	59/656	3.191882597670411e-4	0.0021724288336127788	0.0010842430657777027	7	CD1D, HLA-A, HLA-DQA1, HLA-DQA2, HLA-DRB5, LMF1, PIGZ	ENSG00000158473, ENSG00000206503, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000103227, ENSG00000119227
GO:0098852	CC	lytic vacuole membrane	5/17	24/656	1.9612906308949242e-4	0.002068270119852829	0.0010322582267868023	5	CD1D, HLA-DQA1, HLA-DQA2, HLA-DRB5, SLC30A3	ENSG00000158473, ENSG00000196735, ENSG00000237541, ENSG00000198502, ENSG00000115194
