GeneSetName	Spearman.rho.estimate	p.value	method	alternative	q.value	n
GO_MOLECULAR_FUNCTION_REGULATOR	0.26137375661848494	2.577528795865509e-11	Spearman's rank correlation rho	two.sided	7.147092536301982e-9	631
GO_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	0.22955235236541935	3.0361183255770026e-11	Spearman's rank correlation rho	two.sided	8.06791226338521e-9	823
GO_EXOCYTOSIS	0.3304624924820129	3.600455589279784e-11	Spearman's rank correlation rho	two.sided	9.184830899211923e-9	386
GO_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	0.31950909148881285	9.633800085369148e-11	Spearman's rank correlation rho	two.sided	2.3630776745520422e-8	396
GO_PROTEIN_PHOSPHORYLATION	0.22441328747618589	1.6452597986454905e-10	Spearman's rank correlation rho	two.sided	3.886193643779311e-8	793
GO_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	0.47831167676459757	1.71267949503084e-10	Spearman's rank correlation rho	two.sided	3.900962559840293e-8	162
GO_LOCOMOTION	0.2529728384944316	1.7956583885073266e-10	Spearman's rank correlation rho	two.sided	3.9380354207386905e-8	622
GO_POSITIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS	0.40506046910516347	1.8524528275328765e-10	Spearman's rank correlation rho	two.sided	3.9380354207386905e-8	233
GO_SIGNAL_TRANSDUCTION_BY_PROTEIN_PHOSPHORYLATION	0.3304506541819699	2.34619543100352e-10	Spearman's rank correlation rho	two.sided	4.826765569486023e-8	354
GO_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	0.2261563232517034	7.729903379042025e-10	Spearman's rank correlation rho	two.sided	1.540557108920578e-7	723
GO_LEUKOCYTE_MEDIATED_IMMUNITY	0.32375930934900915	1.1573497575861767e-9	Spearman's rank correlation rho	two.sided	2.236682812115698e-7	337
GO_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	0.5195585404957289	2.633437210965561e-9	Spearman's rank correlation rho	two.sided	4.939668063942343e-7	118
GO_RESPONSE_TO_VIRUS	0.457486052061766	2.8924249635616983e-9	Spearman's rank correlation rho	two.sided	5.270450903505881e-7	156
GO_BIOLOGICAL_ADHESION	0.2776885643601346	3.090950701877735e-9	Spearman's rank correlation rho	two.sided	5.44064418390745e-7	444
GO_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	0.28613472858077177	3.1564457750780223e-9	Spearman's rank correlation rho	two.sided	5.44064418390745e-7	417
GO_MEMBRANE_PROTEIN_COMPLEX	0.26742133569319076	3.977678950923784e-9	Spearman's rank correlation rho	two.sided	6.675746639201849e-7	473
GO_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	0.22274352815996118	7.669908437989773e-9	Spearman's rank correlation rho	two.sided	1.2536278605890557e-6	658
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	0.21504992759261696	7.969673731972526e-9	Spearman's rank correlation rho	two.sided	1.2536278605890557e-6	709
GO_INTRACELLULAR_TRANSPORT	0.19157789177855913	8.059326991193798e-9	Spearman's rank correlation rho	two.sided	1.2536278605890557e-6	892
GO_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	0.25303919291689875	9.93512589747227e-9	Spearman's rank correlation rho	two.sided	1.5086128399305332e-6	499
GO_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	0.3673078652583613	1.2968265601343764e-8	Spearman's rank correlation rho	two.sided	1.9064813945901593e-6	229
GO_CELL_MOTILITY	0.24182552310505892	1.3205874131302103e-8	Spearman's rank correlation rho	two.sided	1.9064813945901593e-6	542
GO_REGULATION_OF_CELL_ADHESION	0.3511963574274331	1.3452139732347419e-8	Spearman's rank correlation rho	two.sided	1.9064813945901593e-6	251
GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	0.2428255769933069	1.4959620148235657e-8	Spearman's rank correlation rho	two.sided	2.07403676108041e-6	530
GO_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	0.21083106952940098	1.9163107511610523e-8	Spearman's rank correlation rho	two.sided	2.6002900459411698e-6	697
GO_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	0.3836417899372266	3.1410494944194396e-8	Spearman's rank correlation rho	two.sided	4.173373534628367e-6	198
GO_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS	0.42021221532091096	3.914235118767157e-8	Spearman's rank correlation rho	two.sided	5.040606257138233e-6	161
GO_MYELOID_LEUKOCYTE_ACTIVATION	0.31357742146421697	3.951837365547836e-8	Spearman's rank correlation rho	two.sided	5.040606257138233e-6	294
GO_CELL	0.25963052802990383	5.057033970559022e-8	Spearman's rank correlation rho	two.sided	6.3238186956133764e-6	428
GO_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	0.1909774567715125	6.212064063960302e-8	Spearman's rank correlation rho	two.sided	7.618795165121556e-6	791
GO_SECRETORY_VESICLE	0.26197164528404254	6.575755743341161e-8	Spearman's rank correlation rho	two.sided	7.912678469911085e-6	413
GO_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE	0.44497877009684644	7.993009582956287e-8	Spearman's rank correlation rho	two.sided	9.439962935192628e-6	136
GO_REGULATION_OF_CELL_POPULATION_PROLIFERATION	0.21160377591832785	8.653565621094933e-8	Spearman's rank correlation rho	two.sided	1.0034277725302312e-5	628
GO_CYTOKINE_PRODUCTION	0.2909475678789581	9.253071839259819e-8	Spearman's rank correlation rho	two.sided	1.0537840533851645e-5	328
GO_MACROMOLECULE_CATABOLIC_PROCESS	0.19508933494124872	9.754201066974802e-8	Spearman's rank correlation rho	two.sided	1.091366360371766e-5	738
GO_ENDOSOME	0.24761267956878805	1.1367252469374506e-7	Spearman's rank correlation rho	two.sided	1.2499171516573278e-5	450
GO_CELL_CELL_ADHESION	0.32364605852977946	1.178371104923532e-7	Spearman's rank correlation rho	two.sided	1.2737488008915876e-5	259
GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	0.1984599516614899	1.5028635641141647e-7	Spearman's rank correlation rho	two.sided	1.5974306767911844e-5	689
GO_VIRAL_LIFE_CYCLE	0.42203589985829	1.6539438950025285e-7	Spearman's rank correlation rho	two.sided	1.7291977175275366e-5	145
GO_TAXIS	0.35703670338056703	2.0774750675509848e-7	Spearman's rank correlation rho	two.sided	2.1369671500962228e-5	203
GO_POSITIVE_REGULATION_OF_CELL_ADHESION	0.3995136528770655	2.1357511627089088e-7	Spearman's rank correlation rho	two.sided	2.162040461429203e-5	160
GO_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.35291279295232797	2.3761228130162103e-7	Spearman's rank correlation rho	two.sided	2.3677869643139968e-5	206
GO_REGULATION_OF_CELL_CELL_ADHESION	0.394344965944547	2.4212543353833435e-7	Spearman's rank correlation rho	two.sided	2.3756407704769106e-5	163
GO_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY	0.5203779366700716	2.677973710430264e-7	Spearman's rank correlation rho	two.sided	2.5877128889323984e-5	89
GO_NEGATIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	0.23444654311495133	3.0727641133640833e-7	Spearman's rank correlation rho	two.sided	2.9248805509842982e-5	466
GO_RESPONSE_TO_TUMOR_NECROSIS_FACTOR	0.40551786686014873	3.701129210683377e-7	Spearman's rank correlation rho	two.sided	3.4650351155977284e-5	149
GO_CATALYTIC_COMPLEX	0.18199944072405608	3.748892746431185e-7	Spearman's rank correlation rho	two.sided	3.4650351155977284e-5	769
GO_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	0.39149185515059176	3.8603396770812506e-7	Spearman's rank correlation rho	two.sided	3.5170714876314344e-5	160
GO_REGULATION_OF_VESICLE_MEDIATED_TRANSPORT	0.32792516008768147	4.242895663579993e-7	Spearman's rank correlation rho	two.sided	3.811164713199063e-5	230
GO_INTERACTION_WITH_HOST	0.5090093427172079	4.5004470414483765e-7	Spearman's rank correlation rho	two.sided	3.9863632861450495e-5	90
GO_ESTABLISHMENT_OF_LOCALIZATION_IN_CELL	0.33033098441170194	4.930997707186937e-7	Spearman's rank correlation rho	two.sided	4.307900420074622e-5	224
GO_ANTIGEN_PROCESSING_AND_PRESENTATION	0.45717873372740636	5.504028786215223e-7	Spearman's rank correlation rho	two.sided	4.743541365452545e-5	112
GO_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	0.18358015706663694	5.769193922164696e-7	Spearman's rank correlation rho	two.sided	4.9057745874917264e-5	734
GO_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	0.18258503963978973	6.026493117980337e-7	Spearman's rank correlation rho	two.sided	5.057137802585462e-5	737
GO_VACUOLE	0.249221494617914	6.537680153320204e-7	Spearman's rank correlation rho	two.sided	5.414852857028056e-5	391
GO_PROTEIN_CATABOLIC_PROCESS	0.2230656448349248	7.065120773513823e-7	Spearman's rank correlation rho	two.sided	5.776685219387007e-5	487
GO_CELLULAR_MACROMOLECULE_LOCALIZATION	0.1560833943606718	9.461047137478556e-7	Spearman's rank correlation rho	two.sided	7.637756882728225e-5	977
GO_T_CELL_RECEPTOR_SIGNALING_PATHWAY	0.4706617192331478	1.2034744888332168e-6	Spearman's rank correlation rho	two.sided	9.59401994184482e-5	99
GO_VESICLE_MEMBRANE	0.2642039454406877	1.235019279371931e-6	Spearman's rank correlation rho	two.sided	9.615316446457123e-5	330
GO_SECRETORY_GRANULE	0.2561744683860271	1.2362995718584153e-6	Spearman's rank correlation rho	two.sided	9.615316446457123e-5	349
GO_IMMUNE_SYSTEM_DEVELOPMENT	0.22747489361884268	1.3126280040338935e-6	Spearman's rank correlation rho	two.sided	1.0085961087778677e-4	443
GO_PROTEIN_CONTAINING_COMPLEX_BINDING	0.2174051888985233	1.3420110831010615e-6	Spearman's rank correlation rho	two.sided	1.018897582269412e-4	485
GO_REGULATION_OF_CELL_DIFFERENTIATION	0.1803098285647375	1.3729810894396223e-6	Spearman's rank correlation rho	two.sided	1.0251159727328021e-4	708
GO_MEMBRANE_REGION	0.3927136082308496	1.382349107479872e-6	Spearman's rank correlation rho	two.sided	1.0251159727328021e-4	144
GO_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	0.16241072366883813	1.4080184774292355e-6	Spearman's rank correlation rho	two.sided	1.0321499996184966e-4	873
GO_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0.2655262379447904	1.4496696514892147e-6	Spearman's rank correlation rho	two.sided	1.0506065165731393e-4	320
GO_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	0.3345424090147708	1.5838607907163968e-6	Spearman's rank correlation rho	two.sided	1.1349604198481008e-4	199
GO_REGULATION_OF_SECRETION	0.2794645662424866	1.7398360382054376e-6	Spearman's rank correlation rho	two.sided	1.2328763685453124e-4	286
GO_CLATHRIN_COATED_PIT	0.6906191369606003	1.8742700831822213e-6	Spearman's rank correlation rho	two.sided	1.313543609968792e-4	40
GO_SIDE_OF_MEMBRANE	0.3454506728666678	2.0801597255670593e-6	Spearman's rank correlation rho	two.sided	1.4276000358193035e-4	182
GO_GLIOGENESIS	0.44072838476508197	2.087143428551918e-6	Spearman's rank correlation rho	two.sided	1.4276000358193035e-4	109
GO_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	0.23184701440996267	2.1041693416229993e-6	Spearman's rank correlation rho	two.sided	1.4276000358193035e-4	412
GO_NEGATIVE_REGULATION_OF_SIGNALING	0.19033820719451416	2.2069824574578776e-6	Spearman's rank correlation rho	two.sided	1.4815932512331274e-4	612
GO_RESPONSE_TO_NITROGEN_COMPOUND	0.21025844657574405	2.2612558954399596e-6	Spearman's rank correlation rho	two.sided	1.4883837803886317e-4	497
GO_RESPONSE_TO_ABIOTIC_STIMULUS	0.19861391251050972	2.263773374643978e-6	Spearman's rank correlation rho	two.sided	1.4883837803886317e-4	558
GO_POSITIVE_REGULATION_OF_ENDOCYTOSIS	0.5920027341079972	2.536558172615952e-6	Spearman's rank correlation rho	two.sided	1.6507164009780495e-4	56
GO_REGULATION_OF_PHOSPHORYLATION	0.18092133514203954	2.5682730343919495e-6	Spearman's rank correlation rho	two.sided	1.6544731084074704e-4	667
GO_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.3239669374065775	2.7497295942502547e-6	Spearman's rank correlation rho	two.sided	1.7536531638485812e-4	203
GO_INTRACELLULAR_PROTEIN_TRANSPORT	0.1844152337700015	3.40503568940118e-6	Spearman's rank correlation rho	two.sided	2.1499998538463587e-4	626
GO_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	0.28890873547031526	3.438625558680216e-6	Spearman's rank correlation rho	two.sided	2.1499998538463587e-4	252
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	0.3066015308167775	3.6238471546857258e-6	Spearman's rank correlation rho	two.sided	2.2358845755238982e-4	222
GO_PLASMA_MEMBRANE_RAFT	0.6135414165666266	3.6461035955817136e-6	Spearman's rank correlation rho	two.sided	2.2358845755238982e-4	50
GO_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	0.22525669918189636	3.692621998937179e-6	Spearman's rank correlation rho	two.sided	2.2428450401514922e-4	416
GO_LEUKOCYTE_MIGRATION	0.36517246194665554	3.777237854510674e-6	Spearman's rank correlation rho	two.sided	2.2725957147500076e-4	154
GO_CELLULAR_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	0.20977477594021737	4.018329538454353e-6	Spearman's rank correlation rho	two.sided	2.395054980356488e-4	477
GO_INFLAMMATORY_RESPONSE	0.27750220397393455	4.174134502208869e-6	Spearman's rank correlation rho	two.sided	2.4648835071699397e-4	269
GO_VESICLE_LUMEN	0.359751672982343	4.316937047288708e-6	Spearman's rank correlation rho	two.sided	2.525823111907791e-4	157
GO_SYNAPSE	0.20711208281116275	4.766583929976915e-6	Spearman's rank correlation rho	two.sided	2.7635560327731996e-4	482
GO_POSITIVE_REGULATION_OF_MAPK_CASCADE	0.3386506713625358	4.8948249341022015e-6	Spearman's rank correlation rho	two.sided	2.8123404937747357e-4	176
GO_REGULATION_OF_CELL_ACTIVATION	0.2896083265334467	5.593803815834402e-6	Spearman's rank correlation rho	two.sided	3.185245592647916e-4	240
GO_LYMPHOCYTE_ACTIVATION	0.2595553283925377	5.64894380116899e-6	Spearman's rank correlation rho	two.sided	3.1881777454943164e-4	300
GO_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	0.6427061310782242	5.846263377407321e-6	Spearman's rank correlation rho	two.sided	3.270598555517893e-4	43
GO_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	0.2736091897556617	5.969993742389072e-6	Spearman's rank correlation rho	two.sided	3.31077563800182e-4	268
GO_CELLULAR_HOMEOSTASIS	0.23051890405992487	6.3015890326276454e-06	Spearman's rank correlation rho	two.sided	3.456123939885197e-4	376
GO_NIK_NF_KAPPAB_SIGNALING	0.4654115740903807	6.340470040216019e-6	Spearman's rank correlation rho	two.sided	3.456123939885197e-4	88
GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION	0.3145530683721638	6.7579328380617055e-6	Spearman's rank correlation rho	two.sided	3.652460932307727e-4	199
GO_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	0.2151684687305953	7.45121039669918e-6	Spearman's rank correlation rho	two.sided	3.9933151006740536e-4	428
GO_RESPONSE_TO_OXYGEN_LEVELS	0.3119728777714137	8.531678483996437e-6	Spearman's rank correlation rho	two.sided	4.51094957900418e-4	198
GO_CHEMICAL_HOMEOSTASIS	0.20808644046547992	8.558538878513227e-6	Spearman's rank correlation rho	two.sided	4.51094957900418e-4	450
GO_MITOTIC_CELL_CYCLE	0.19548031751753814	8.720240810256951e-6	Spearman's rank correlation rho	two.sided	4.5585042367364407e-4	512
GO_ION_HOMEOSTASIS	0.2567932591709834	9.145633654065909e-6	Spearman's rank correlation rho	two.sided	4.7420093365139305e-4	293
GO_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	0.30692495502810213	9.33523150197949e-6	Spearman's rank correlation rho	two.sided	4.8012809804236087e-4	203
GO_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	0.23542085910332552	1.0209479578244242e-5	Spearman's rank correlation rho	two.sided	5.20891543694272e-4	344
GO_RESPONSE_TO_INTERLEUKIN_1	0.45314947225059593	1.0358176394091633e-5	Spearman's rank correlation rho	two.sided	5.242838412468007e-4	89
GO_POSITIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS	0.7416529830322933	1.158554241265577e-5	Spearman's rank correlation rho	two.sided	5.817901521335633e-4	28
GO_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	0.38973539829154796	1.2743015303515724e-5	Spearman's rank correlation rho	two.sided	6.349155303849284e-4	120
GO_PEPTIDYL_AMINO_ACID_MODIFICATION	0.18330841233290468	1.2909485848083012e-5	Spearman's rank correlation rho	two.sided	6.382237343196198e-4	561
GO_LEUKOCYTE_CELL_CELL_ADHESION	0.3638790015274356	1.3216705407212098e-5	Spearman's rank correlation rho	two.sided	6.48385916297897e-4	138
GO_IMPORT_INTO_CELL	0.2560165125065657	1.4945412930267164e-5	Spearman's rank correlation rho	two.sided	7.275960595379928e-4	279
GO_VACUOLAR_MEMBRANE	0.2926639363601819	1.543754827757255e-5	Spearman's rank correlation rho	two.sided	7.458613670440457e-4	213
GO_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	0.43933747412008284	1.6200234244223e-5	Spearman's rank correlation rho	two.sided	7.768253126256509e-4	91
GO_REGULATION_OF_PLASMA_LIPOPROTEIN_PARTICLE_LEVELS	0.6423076923076924	1.6717908651905118e-5	Spearman's rank correlation rho	two.sided	7.95666117949348e-4	39
GO_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	0.19603525918492765	1.6845952377546633e-5	Spearman's rank correlation rho	two.sided	7.958212205382767e-4	475
GO_PLASMA_MEMBRANE_REGION	0.21208966361063875	1.717698914926658e-5	Spearman's rank correlation rho	two.sided	8.054931439224077e-4	404
GO_CELLULAR_PROTEIN_CATABOLIC_PROCESS	0.20771237751323404	1.7315334090705292e-5	Spearman's rank correlation rho	two.sided	8.060537885837648e-4	423
GO_LATE_ENDOSOME	0.34938592347661784	1.8702120133627145e-5	Spearman's rank correlation rho	two.sided	8.581161335633438e-4	145
GO_EARLY_ENDOSOME	0.3207744830367449	1.8702822503352158e-5	Spearman's rank correlation rho	two.sided	8.581161335633438e-4	173
GO_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL	0.8441176470588234	1.9317135913505526e-5	Spearman's rank correlation rho	two.sided	8.799711117061567e-4	16
GO_ENDOCYTOSIS	0.2746496104206951	2.034588009313202e-5	Spearman's rank correlation rho	two.sided	9.202611397973885e-4	234
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	0.36379811430032394	2.061096419298921e-5	Spearman's rank correlation rho	two.sided	9.25685966209347e-4	132
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	0.2390605252849128	2.219813831451657e-5	Spearman's rank correlation rho	two.sided	9.899978032423425e-4	310
GO_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	0.2203162209450105	2.2699934229637028e-5	Spearman's rank correlation rho	two.sided	0.001005346619763911	365
GO_CELLULAR_ION_HOMEOSTASIS	0.26633066181938364	2.4721281244104824e-5	Spearman's rank correlation rho	two.sided	0.0010873182775239794	246
GO_RESPONSE_TO_BACTERIUM	0.2846527546063164	2.5539950921807118e-5	Spearman's rank correlation rho	two.sided	0.0011156318846425196	214
GO_POSITIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION	0.4188551275094954	2.5787111145168514e-5	Spearman's rank correlation rho	two.sided	0.001118765518849346	96
GO_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	0.2726427043431632	2.7357507752744834e-5	Spearman's rank correlation rho	two.sided	0.0011716497686375337	232
GO_REGULATION_OF_HEMOPOIESIS	0.27874164121068606	2.7373502143459938e-5	Spearman's rank correlation rho	two.sided	0.0011716497686375337	220
GO_REGULATION_OF_VIRAL_LIFE_CYCLE	0.4974637302995512	2.7574162903930522e-5	Spearman's rank correlation rho	two.sided	0.001172370260650754	66
GO_REGULATION_OF_T_CELL_ACTIVATION	0.3451008086908597	2.9144093588396822e-5	Spearman's rank correlation rho	two.sided	0.0012309128934916596	142
GO_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	0.38646769398981795	2.9667348884932052e-5	Spearman's rank correlation rho	two.sided	0.001244769292947951	112
GO_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	0.3879343629343629	2.995989190156602e-5	Spearman's rank correlation rho	two.sided	0.0012488277096065945	111
GO_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	0.37650783912000263	3.031758070548314e-5	Spearman's rank correlation rho	two.sided	0.001255531279072223	118
GO_CELLULAR_MACROMOLECULE_CATABOLIC_PROCESS	0.16537185368208218	3.1508563254430155e-5	Spearman's rank correlation rho	two.sided	0.0012964346128268268	629
GO_PLASMA_MEMBRANE_PROTEIN_COMPLEX	0.32117423423722996	3.20936602660909e-5	Spearman's rank correlation rho	two.sided	0.0013120439044027096	163
GO_REGULATION_OF_SYMBIOSIS_ENCOMPASSING_MUTUALISM_THROUGH_PARASITISM	0.39611237818784983	3.346705797974167e-5	Spearman's rank correlation rho	two.sided	0.0013557756471098067	105
GO_MEMBRANE_ORGANIZATION	0.21319917994007256	3.35885457002646e-5	Spearman's rank correlation rho	two.sided	0.0013557756471098067	374
GO_MOLECULAR_TRANSDUCER_ACTIVITY	0.2796070902460818	3.4327707229918405e-05	Spearman's rank correlation rho	two.sided	0.0013768967934199932	215
GO_REGULATION_OF_MITOTIC_CELL_CYCLE	0.23049251248106412	3.488374038643348e-5	Spearman's rank correlation rho	two.sided	0.0013904544883126362	318
GO_REGULATION_OF_CATABOLIC_PROCESS	0.1801891173554601	3.562132811641662e-5	Spearman's rank correlation rho	two.sided	0.0014110355220993017	522
GO_RECEPTOR_MEDIATED_ENDOCYTOSIS	0.3760350593933802	3.637431168020914e-5	Spearman's rank correlation rho	two.sided	0.0014319685657431648	116
GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	0.39061306060071715	3.682839827707097e-5	Spearman's rank correlation rho	two.sided	0.0014409501017178033	107
GO_REGULATION_OF_GLIOGENESIS	0.619838056680162	3.808091926385162e-5	Spearman's rank correlation rho	two.sided	0.0014808712128869528	39
GO_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	0.2958282230398692	3.8806027020581154e-5	Spearman's rank correlation rho	two.sided	0.0014999229588894313	189
GO_PEPTIDYL_TYROSINE_MODIFICATION	0.33494644905671295	3.9801765246845784e-5	Spearman's rank correlation rho	two.sided	0.0015291425075151096	146
GO_POSITIVE_REGULATION_OF_DEVELOPMENTAL_GROWTH	0.5064516129032258	4.009238493209502e-5	Spearman's rank correlation rho	two.sided	0.0015310844140813602	61
GO_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	0.39709959231217234	4.545710765921413e-5	Spearman's rank correlation rho	two.sided	0.0017256242394030126	101
GO_CAVEOLA	0.6203085676769887	4.7742341422392004e-5	Spearman's rank correlation rho	two.sided	0.0018016512398871354	38
GO_ENDOCYTIC_VESICLE_MEMBRANE	0.4908424908424908	4.805196853630544e-5	Spearman's rank correlation rho	two.sided	0.00180266894839935	64
GO_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY_INVOLVED_IN_CELL_CELL_SIGNALING	0.2540140390817682	4.948512246612659e-5	Spearman's rank correlation rho	two.sided	0.001845577361234274	251
