Sample.ID	Alternate.ID	RNA.Extraction.Batch	RIN	SX	Age	Post.mortem.time.min	TissueSource	Notes	SP	SRA	PercentUniquelyMappingReads	UniquelyMappingReads
GTEX-OXRO-2026-SM-2YUMZ	GTEX-OXRO	BP-20384	5.1	F	60-69	848	GTEx_v7	HardyScale=4	Human	SRR613186	79.88	34838229
GTEX-P4PP-0326-SM-5S2TQ	GTEX-P4PP	BP-18662	8.6	F	30-39	78	GTEx_v7	HardyScale=0	Human	SRR1477033	NA	NA
GTEX-P4PQ-0326-SM-2HMJ8	GTEX-P4PQ	BP-18708	8.2	M	60-69	164	GTEx_v7	HardyScale=0	Human	SRR601645	83.34	51168783
GTEX-P4QS-0326-SM-2I3EU	GTEX-P4QS	BP-18727	8.8	M	60-69	83	GTEx_v7	HardyScale=0	Human	SRR603918	83.7	41385038
GTEX-P78B-0426-SM-2I5F5	GTEX-P78B	BP-19089	7.9	F	40-49	532	GTEx_v7	HardyScale=NA	Human	SRR601613	72.33	56668033
GTEX-PLZ5-0626-SM-2I5F8	GTEX-PLZ5	BP-19181	8.1	M	50-59	120	GTEx_v7	HardyScale=0	Human	SRR598589	84.35	72807887
GTEX-POMQ-0326-SM-2I5FO	GTEX-POMQ	BP-19350	8.1	F	20-29	214	GTEx_v7	HardyScale=0	Human	SRR606939	84.87	80587655
GTEX-PSDG-0926-SM-2I5FP	GTEX-PSDG	BP-19411	7.1	M	50-59	495	GTEx_v7	HardyScale=0	Human	SRR599086	73.16	56096855
GTEX-PWCY-0526-SM-2I3ER	GTEX-PWCY	BP-19460	8.8	F	20-29	203	GTEx_v7	HardyScale=0	Human	SRR607252	78.46	36564822
GTEX-PX3G-0326-SM-2I3EO	GTEX-PX3G	BP-19882	8.7	F	20-29	119	GTEx_v7	HardyScale=0	Human	SRR600474	82.1	40349303
GTEX-Q2AH-0526-SM-2I3ED	GTEX-Q2AH	BP-19999	8.2	M	40-49	108	GTEx_v7	HardyScale=0	Human	SRR601239	86.14	41899261
GTEX-QDVJ-0426-SM-2I5FW	GTEX-QDVJ	BP-20260	8.2	M	50-59	479	GTEx_v7	HardyScale=0	Human	SRR604230	81.16	63618798
GTEX-QDVN-0326-SM-2I3FS	GTEX-QDVN	BP-20293	8.7	M	50-59	125	GTEx_v7	HardyScale=0	Human	SRR604122	80.83	39450541
GTEX-QESD-0526-SM-2I5G5	GTEX-QESD	BP-20480	8	M	20-29	242	GTEx_v7	HardyScale=0	Human	SRR599249	73.21	61850833
GTEX-QLQ7-0526-SM-2I5G3	GTEX-QLQ7	BP-20570	7.9	M	60-69	91	GTEx_v7	HardyScale=0	Human	SRR599380	83.61	77057833
GTEX-QV44-0526-SM-2S1RE	GTEX-QV44	BP-20865	8.1	M	50-59	104	GTEx_v7	HardyScale=0	Human	SRR614683	80.06	34558231
GTEX-R55G-0526-SM-2TC5O	GTEX-R55G	BP-21546	9.1	F	40-49	85	GTEx_v7	HardyScale=0	Human	SRR612335	79.5	44059888
GTEX-RNOR-0826-SM-2TF5C	GTEX-RNOR	BP-21628	6.6	F	50-59	925	GTEx_v7	HardyScale=1	Human	SRR614996	61.23	30051515
GTEX-RU72-0326-SM-2TF5T	GTEX-RU72	BP-21930	7.8	F	50-59	439	GTEx_v7	HardyScale=2	Human	SRR612875	68.05	33412297
GTEX-S33H-0526-SM-5SI83	GTEX-S33H	BP-22611	6.4	M	30-39	218	GTEx_v7	HardyScale=2	Human	SRR1474730	NA	NA
GTEX-YEC4-0326-SM-4W216	GTEX-YEC4	BP-42087	8.6	M	40-49	175	GTEx_v7	HardyScale=0	Human	SRR1481012	NA	NA
GTEX-ZYW4-0926-SM-59HJS	GTEX-ZYW4	BP-44577	5.9	M	60-69	780	GTEx_v7	HardyScale=3	Human	SRR1489693	NA	NA
61317	NA	6/8/16	5.3	M	69	480	Library from Pavlovic et al resequenced	NA	Human	NA	86.83	32431671
62606	NA	6/8/16	5.8	M	66	402	Library from Pavlovic et al resequenced	NA	Human	NA	91.38	32293506
62905	NA	6/8/16	6.5	M	67	480	Library from Pavlovic et al resequenced	NA	Human	NA	88.64	37589825
63060	NA	6/13/16	6.1	F	44	480	Library from Pavlovic et al resequenced	NA	Human	NA	90.39	29860537
59365	NA	6/13/16	7	M	60	180	Library from Pavlovic et al resequenced	NA	Human	NA	88.65	48184869
62765	NA	6/14/16	7	F	57	150	Library from Pavlovic et al resequenced	NA	Human	NA	90.45	41301068
59263	NA	6/14/16	6.3	M	60	270	Library from Pavlovic et al resequenced	NA	Human	NA	91.57	47597109
59167	NA	6/22/16	2.8	M	65	480	Library from Pavlovic et al resequenced	NA	Human	NA	84.32	34541716
59511	NA	6/22/16	5.2	M	55	240	Library from Pavlovic et al resequenced	NA	Human	NA	89.39	38116613
62850	NA	6/22/16	5.9	F	70	180	Library from Pavlovic et al resequenced	NA	Human	NA	90.89	42699925
63145	NA	6/22/16	6.2	F	39	180	Library from Pavlovic et al resequenced	NA	Human	NA	89.46	41950667
