gene	Pn	Ps
ENSG00000016402	1	0
ENSG00000016490	2	2
ENSG00000016602	1	0
ENSG00000017260	0	1
ENSG00000018236	0	2
ENSG00000018280	0	1
ENSG00000018625	0	2
ENSG00000018699	1	1
ENSG00000018869	0	1
ENSG00000019144	0	2
ENSG00000019186	0	2
ENSG00000019485	0	2
ENSG00000019995	0	1
ENSG00000020181	0	2
ENSG00000020256	1	2
ENSG00000020633	1	0
ENSG00000021461	1	2
ENSG00000021488	2	5
ENSG00000021645	1	3
ENSG00000021762	1	2
ENSG00000021776	0	1
ENSG00000021826	3	2
ENSG00000022277	1	0
ENSG00000022355	0	1
ENSG00000022556	3	6
ENSG00000022567	2	8
ENSG00000022976	2	1
ENSG00000023041	0	1
ENSG00000023171	1	4
ENSG00000023191	4	2
ENSG00000023228	0	2
ENSG00000023287	1	2
ENSG00000023330	0	1
ENSG00000023516	0	5
ENSG00000023572	1	0
ENSG00000023839	1	1
ENSG00000023892	1	0
ENSG00000024048	1	3
ENSG00000024422	0	4
ENSG00000025293	1	0
ENSG00000025434	0	1
ENSG00000025708	0	2
ENSG00000025796	0	1
ENSG00000026036	2	1
ENSG00000026103	0	1
ENSG00000026297	0	1
ENSG00000026508	2	1
ENSG00000026559	0	2
ENSG00000026652	0	1
ENSG00000026950	2	1
ENSG00000027001	1	0
ENSG00000027075	0	2
ENSG00000027644	1	0
ENSG00000027697	1	1
ENSG00000027847	0	2
ENSG00000027869	1	0
ENSG00000028116	1	0
ENSG00000028137	1	1
ENSG00000028203	1	1
ENSG00000028528	0	1
ENSG00000029534	0	7
ENSG00000029559	5	1
ENSG00000029639	0	1
ENSG00000029725	0	5
ENSG00000030066	1	0
ENSG00000030110	0	1
ENSG00000030304	2	2
ENSG00000030419	0	1
ENSG00000031081	1	2
ENSG00000031691	2	0
ENSG00000032219	1	2
ENSG00000032389	3	0
ENSG00000032444	1	1
ENSG00000032742	2	0
ENSG00000033011	1	1
ENSG00000033050	0	3
ENSG00000033100	0	2
ENSG00000033170	1	1
ENSG00000033178	1	3
ENSG00000033327	0	3
ENSG00000033867	1	5
ENSG00000034053	1	0
ENSG00000034152	1	0
ENSG00000034533	0	2
ENSG00000034971	1	0
ENSG00000035115	1	1
ENSG00000035141	1	2
ENSG00000035403	0	2
ENSG00000035664	2	0
ENSG00000035720	0	2
ENSG00000035862	0	1
ENSG00000035928	0	2
ENSG00000036257	0	1
ENSG00000036448	4	6
ENSG00000036565	3	0
ENSG00000036672	1	2
ENSG00000036828	1	0
ENSG00000037042	1	2
ENSG00000037280	3	1
ENSG00000037474	0	3
ENSG00000037637	1	1
ENSG00000037749	0	3
ENSG00000038210	1	1
ENSG00000038219	5	0
ENSG00000038274	0	1
ENSG00000038358	0	1
ENSG00000038382	0	4
ENSG00000038427	5	5
ENSG00000038532	0	2
ENSG00000039068	0	1
ENSG00000039123	0	2
ENSG00000039139	7	11
ENSG00000039319	1	0
ENSG00000039537	1	0
ENSG00000039560	2	3
ENSG00000039600	0	2
ENSG00000039650	1	0
ENSG00000040199	1	2
ENSG00000040275	2	1
ENSG00000040487	1	1
ENSG00000040531	1	1
ENSG00000040933	1	2
ENSG00000041357	0	1
ENSG00000041515	3	3
ENSG00000041802	1	2
ENSG00000041982	6	7
ENSG00000041988	1	0
ENSG00000042062	1	0
ENSG00000042088	0	1
ENSG00000042286	0	1
ENSG00000042304	3	0
ENSG00000042317	2	0
ENSG00000042429	1	2
ENSG00000042445	1	1
ENSG00000042493	2	1
ENSG00000042753	1	0
ENSG00000042781	8	7
ENSG00000042832	7	4
ENSG00000042980	0	2
ENSG00000043039	0	1
ENSG00000043093	0	1
ENSG00000043143	0	1
ENSG00000043355	0	1
ENSG00000043462	0	2
ENSG00000043514	2	1
ENSG00000043591	2	0
ENSG00000044012	1	1
ENSG00000044090	0	2
ENSG00000044115	0	1
ENSG00000044459	2	3
ENSG00000044524	1	1
ENSG00000046604	1	3
ENSG00000046889	0	9
ENSG00000047188	2	4
ENSG00000047315	0	3
ENSG00000047346	2	3
ENSG00000047365	0	1
ENSG00000047410	1	0
ENSG00000047578	1	2
ENSG00000047617	3	2
ENSG00000047662	2	2
ENSG00000047849	4	0
ENSG00000047936	4	2
ENSG00000048028	0	2
ENSG00000048052	0	2
ENSG00000048140	0	1
ENSG00000048162	0	1
ENSG00000048342	0	1
ENSG00000048392	0	1
ENSG00000048471	0	2
ENSG00000048544	0	1
ENSG00000048649	1	3
ENSG00000048707	1	1
ENSG00000048740	0	2
ENSG00000048828	0	1
ENSG00000048991	3	0
ENSG00000049089	2	0
ENSG00000049167	0	1
ENSG00000049239	4	4
ENSG00000049246	4	2
ENSG00000049247	3	0
ENSG00000049283	1	2
ENSG00000049323	0	5
ENSG00000049449	0	3
ENSG00000049540	1	0
ENSG00000049618	0	1
ENSG00000049759	2	1
ENSG00000049860	2	0
ENSG00000050165	1	0
ENSG00000050327	1	0
ENSG00000050344	0	1
ENSG00000050393	2	0
ENSG00000050426	1	0
ENSG00000050555	8	8
ENSG00000050628	0	1
ENSG00000050767	1	1
ENSG00000050820	1	2
ENSG00000051009	1	2
ENSG00000051108	1	0
ENSG00000051128	0	2
ENSG00000051341	3	0
ENSG00000051523	2	0
ENSG00000051620	0	1
ENSG00000051825	0	2
ENSG00000052749	2	7
ENSG00000052850	1	2
ENSG00000053108	2	0
ENSG00000053328	0	1
ENSG00000053372	0	3
ENSG00000053524	2	0
ENSG00000053747	1	5
ENSG00000053770	0	1
ENSG00000053900	1	1
ENSG00000053918	0	2
ENSG00000054118	1	1
ENSG00000054179	0	3
ENSG00000054219	4	3
ENSG00000054267	1	2
ENSG00000054282	1	1
ENSG00000054392	2	2
ENSG00000054523	0	3
ENSG00000054611	2	0
ENSG00000054654	8	6
ENSG00000054690	4	2
ENSG00000054793	0	2
ENSG00000054938	0	3
ENSG00000054965	0	1
ENSG00000054967	0	1
ENSG00000054983	5	4
ENSG00000055070	1	0
ENSG00000055118	0	4
ENSG00000055147	1	1
ENSG00000055163	2	1
ENSG00000055208	0	2
ENSG00000055483	3	2
ENSG00000055609	0	1
ENSG00000055732	0	1
ENSG00000055813	1	0
ENSG00000055950	0	1
ENSG00000055955	2	4
ENSG00000055957	3	1
ENSG00000056050	1	1
ENSG00000056097	1	0
ENSG00000056487	0	2
ENSG00000056558	0	1
ENSG00000056586	0	1
ENSG00000056736	0	2
ENSG00000056972	1	0
ENSG00000057019	0	3
ENSG00000057252	0	3
ENSG00000057294	1	0
ENSG00000057468	1	2
ENSG00000057593	1	1
ENSG00000057608	0	1
ENSG00000057657	1	0
ENSG00000057704	0	4
ENSG00000058056	0	1
ENSG00000058063	0	2
ENSG00000058085	1	4
ENSG00000058272	0	1
ENSG00000058335	0	2
ENSG00000058404	0	5
ENSG00000058453	0	3
ENSG00000058668	0	2
ENSG00000058673	0	2
ENSG00000058729	3	3
ENSG00000058866	2	1
ENSG00000059122	4	2
ENSG00000059378	0	2
ENSG00000059573	1	0
ENSG00000059588	1	9
ENSG00000059691	1	1
ENSG00000059728	0	1
ENSG00000059769	1	1
ENSG00000059804	0	1
ENSG00000059915	0	1
ENSG00000060069	2	2
ENSG00000060138	1	1
ENSG00000060140	1	1
ENSG00000060237	5	7
ENSG00000060339	0	1
ENSG00000060491	1	3
ENSG00000060558	0	2
ENSG00000060566	0	1
ENSG00000060656	1	1
ENSG00000060709	0	4
ENSG00000060718	1	3
ENSG00000060749	0	2
ENSG00000060971	1	0
ENSG00000061273	1	2
ENSG00000061337	0	1
ENSG00000061455	2	1
ENSG00000061492	0	1
ENSG00000061676	0	1
ENSG00000061794	1	0
ENSG00000061918	0	1
ENSG00000061936	0	2
ENSG00000061938	1	3
ENSG00000061987	2	3
ENSG00000062038	3	7
ENSG00000062194	0	1
ENSG00000062370	3	2
ENSG00000062650	1	0
ENSG00000062822	0	1
ENSG00000063015	3	1
ENSG00000063046	0	1
ENSG00000063169	2	4
ENSG00000063176	0	1
ENSG00000063180	1	0
ENSG00000063244	0	1
ENSG00000063322	1	0
ENSG00000063438	0	1
ENSG00000063660	1	4
ENSG00000063761	1	3
ENSG00000063854	0	1
ENSG00000064012	2	0
ENSG00000064042	4	2
ENSG00000064102	0	1
ENSG00000064195	0	1
ENSG00000064201	1	1
ENSG00000064205	0	1
ENSG00000064218	0	1
ENSG00000064225	2	0
ENSG00000064270	1	2
ENSG00000064300	0	1
ENSG00000064309	3	5
ENSG00000064313	3	3
ENSG00000064393	0	3
ENSG00000064419	1	2
ENSG00000064545	0	1
ENSG00000064547	0	1
ENSG00000064607	1	0
ENSG00000064651	0	1
ENSG00000064655	0	1
ENSG00000064666	3	6
ENSG00000064687	4	11
ENSG00000064703	3	3
ENSG00000064763	0	1
ENSG00000064787	3	0
ENSG00000064932	1	7
ENSG00000064989	0	1
ENSG00000064999	0	2
ENSG00000065000	3	3
ENSG00000065029	0	2
ENSG00000065054	1	1
ENSG00000065060	3	3
ENSG00000065154	0	1
ENSG00000065243	0	2
ENSG00000065268	2	3
ENSG00000065320	3	1
ENSG00000065325	1	1
ENSG00000065328	3	2
ENSG00000065357	1	1
ENSG00000065361	0	1
ENSG00000065413	0	1
ENSG00000065457	1	0
ENSG00000065485	0	2
ENSG00000065491	0	1
ENSG00000065526	2	0
ENSG00000065534	1	4
ENSG00000065609	0	2
ENSG00000065613	2	1
ENSG00000065618	3	4
ENSG00000065621	1	0
ENSG00000065665	0	1
ENSG00000065675	1	2
ENSG00000065717	0	1
ENSG00000065833	0	1
ENSG00000065882	3	2
ENSG00000065970	0	1
ENSG00000065989	1	0
ENSG00000066027	0	1
ENSG00000066032	0	2
ENSG00000066044	0	1
ENSG00000066056	0	2
ENSG00000066084	0	1
ENSG00000066135	1	0
ENSG00000066136	1	1
ENSG00000066185	1	1
ENSG00000066230	2	4
ENSG00000066248	1	3
ENSG00000066279	2	8
ENSG00000066336	1	0
ENSG00000066405	1	1
ENSG00000066427	2	1
ENSG00000066455	1	0
ENSG00000066468	0	2
ENSG00000066583	0	1
ENSG00000066629	2	1
ENSG00000066654	1	0
ENSG00000066697	0	1
ENSG00000066735	0	10
ENSG00000066739	1	1
ENSG00000066813	1	2
ENSG00000066827	2	6
ENSG00000066923	4	4
ENSG00000066926	1	2
ENSG00000066933	0	1
ENSG00000067057	0	8
ENSG00000067066	2	1
ENSG00000067141	0	2
ENSG00000067182	1	1
ENSG00000067208	1	1
ENSG00000067221	0	1
ENSG00000067248	0	1
ENSG00000067334	1	3
ENSG00000067365	3	0
ENSG00000067369	3	2
ENSG00000067596	0	1
ENSG00000067606	0	2
ENSG00000067715	0	1
ENSG00000067798	0	5
ENSG00000067836	0	1
ENSG00000068001	1	0
ENSG00000068024	0	1
ENSG00000068078	0	1
ENSG00000068120	1	1
ENSG00000068137	0	1
ENSG00000068305	0	2
ENSG00000068383	1	0
ENSG00000068615	0	2
ENSG00000068650	2	5
ENSG00000068654	1	2
ENSG00000068697	0	1
ENSG00000068724	1	2
ENSG00000068745	1	1
ENSG00000068781	4	4
ENSG00000068784	2	1
ENSG00000068831	0	1
ENSG00000068878	1	4
ENSG00000068885	1	0
ENSG00000068912	0	1
ENSG00000069011	1	1
ENSG00000069018	0	1
ENSG00000069020	1	0
ENSG00000069122	3	8
ENSG00000069188	1	6
ENSG00000069206	2	1
ENSG00000069248	2	2
ENSG00000069424	1	4
ENSG00000069493	3	1
ENSG00000069702	1	3
ENSG00000069812	1	0
ENSG00000069869	3	3
ENSG00000069943	1	0
ENSG00000069998	1	1
ENSG00000070018	1	1
ENSG00000070047	1	4
ENSG00000070061	4	1
ENSG00000070081	2	0
ENSG00000070159	1	0
ENSG00000070182	2	7
ENSG00000070190	0	1
ENSG00000070214	1	0
ENSG00000070269	2	1
ENSG00000070366	4	4
ENSG00000070367	0	1
ENSG00000070371	1	1
ENSG00000070404	0	1
ENSG00000070413	1	0
ENSG00000070423	0	1
ENSG00000070444	0	1
ENSG00000070476	0	1
ENSG00000070540	1	0
ENSG00000070601	2	3
ENSG00000070614	0	3
ENSG00000070669	1	0
ENSG00000070729	4	2
ENSG00000070748	2	1
ENSG00000070759	0	1
ENSG00000070778	2	2
ENSG00000070785	0	1
ENSG00000070814	4	2
ENSG00000070882	0	1
ENSG00000070886	2	1
ENSG00000070915	1	3
ENSG00000070950	1	0
ENSG00000070961	0	2
ENSG00000070985	4	3
ENSG00000071054	0	1
ENSG00000071127	1	0
ENSG00000071189	0	1
ENSG00000071203	1	1
ENSG00000071242	0	7
ENSG00000071243	0	1
ENSG00000071246	0	2
ENSG00000071282	1	1
ENSG00000071564	0	3
ENSG00000071575	1	0
ENSG00000071794	0	2
ENSG00000071894	0	1
ENSG00000071909	3	5
ENSG00000071967	2	0
ENSG00000071991	1	1
ENSG00000072041	1	1
ENSG00000072071	0	1
ENSG00000072080	0	1
ENSG00000072110	0	1
ENSG00000072121	2	2
ENSG00000072135	1	0
ENSG00000072163	0	1
ENSG00000072182	3	2
ENSG00000072195	4	4
ENSG00000072210	1	1
ENSG00000072274	1	0
ENSG00000072364	0	1
ENSG00000072571	2	1
ENSG00000072609	3	2
ENSG00000072657	0	1
ENSG00000072694	0	2
ENSG00000072736	1	0
ENSG00000072756	0	1
ENSG00000072786	0	5
ENSG00000072818	0	1
ENSG00000072832	0	2
ENSG00000072840	3	5
ENSG00000072858	0	2
ENSG00000072952	3	2
ENSG00000072958	0	1
ENSG00000073008	1	0
ENSG00000073050	1	2
ENSG00000073060	0	1
ENSG00000073067	1	1
ENSG00000073111	0	1
ENSG00000073146	7	6
ENSG00000073150	0	1
ENSG00000073169	2	1
ENSG00000073331	4	2
ENSG00000073350	3	3
ENSG00000073536	1	0
ENSG00000073578	3	8
ENSG00000073598	1	1
ENSG00000073605	2	0
ENSG00000073614	2	1
ENSG00000073670	0	5
ENSG00000073711	3	1
ENSG00000073712	1	1
ENSG00000073734	1	1
ENSG00000073737	0	1
ENSG00000073756	0	1
ENSG00000073803	0	1
ENSG00000073861	0	1
ENSG00000073910	2	4
ENSG00000073921	0	2
ENSG00000073969	0	1
ENSG00000074047	2	1
ENSG00000074054	0	1
ENSG00000074071	1	1
ENSG00000074181	2	4
ENSG00000074211	0	1
ENSG00000074266	0	1
ENSG00000074276	2	3
ENSG00000074370	0	7
ENSG00000074416	0	1
ENSG00000074527	1	1
ENSG00000074590	1	0
ENSG00000074621	1	0
ENSG00000074657	0	1
ENSG00000074660	2	2
ENSG00000074695	1	1
ENSG00000074696	0	1
ENSG00000074755	4	9
ENSG00000074771	0	3
ENSG00000074803	0	1
ENSG00000074842	1	0
ENSG00000074855	1	5
ENSG00000074964	1	5
ENSG00000074966	1	1
ENSG00000075035	1	0
ENSG00000075043	2	0
ENSG00000075073	2	0
ENSG00000075131	1	0
ENSG00000075213	0	2
ENSG00000075218	3	1
ENSG00000075223	0	3
ENSG00000075239	1	1
ENSG00000075275	8	3
ENSG00000075290	1	0
ENSG00000075292	5	3
ENSG00000075340	0	1
ENSG00000075399	0	1
ENSG00000075407	0	1
ENSG00000075413	0	1
ENSG00000075420	1	1
ENSG00000075426	0	1
ENSG00000075539	0	2
ENSG00000075568	1	1
ENSG00000075618	0	1
ENSG00000075643	2	0
ENSG00000075651	2	2
ENSG00000075673	0	3
ENSG00000075702	3	5
ENSG00000075711	1	0
ENSG00000075826	5	2
ENSG00000075856	1	3
ENSG00000075884	0	1
ENSG00000075886	0	1
ENSG00000075891	0	1
ENSG00000075914	1	0
ENSG00000075945	0	1
ENSG00000075975	0	1
ENSG00000076053	1	0
ENSG00000076067	0	1
ENSG00000076201	1	1
ENSG00000076242	1	0
ENSG00000076344	1	1
ENSG00000076356	3	4
ENSG00000076513	0	1
ENSG00000076555	3	6
ENSG00000076604	0	1
ENSG00000076641	0	2
ENSG00000076650	3	4
ENSG00000076662	4	2
ENSG00000076685	1	1
ENSG00000076706	0	1
ENSG00000076826	0	1
ENSG00000076864	1	2
ENSG00000076924	0	2
ENSG00000076944	1	1
ENSG00000077044	0	1
ENSG00000077097	0	1
ENSG00000077147	0	1
ENSG00000077152	0	1
ENSG00000077232	2	2
ENSG00000077235	2	0
ENSG00000077238	5	3
ENSG00000077254	0	2
ENSG00000077312	0	1
ENSG00000077348	1	0
ENSG00000077454	1	1
ENSG00000077458	0	1
ENSG00000077498	2	0
ENSG00000077514	0	1
ENSG00000077522	1	1
ENSG00000077616	1	1
ENSG00000077935	3	4
ENSG00000077942	1	1
ENSG00000077984	0	1
ENSG00000078018	0	2
ENSG00000078053	1	3
ENSG00000078070	1	0
ENSG00000078081	1	1
ENSG00000078114	0	1
ENSG00000078124	1	2
ENSG00000078177	2	1
ENSG00000078237	0	2
ENSG00000078246	1	1
ENSG00000078269	1	6
ENSG00000078295	1	2
ENSG00000078328	1	1
ENSG00000078401	1	1
ENSG00000078403	0	1
ENSG00000078487	0	1
ENSG00000078579	0	2
ENSG00000078618	1	3
ENSG00000078674	3	3
ENSG00000078687	1	2
ENSG00000078699	0	1
ENSG00000078725	0	2
ENSG00000078795	1	0
ENSG00000078808	0	2
ENSG00000078814	2	7
ENSG00000078898	1	1
ENSG00000078900	0	1
ENSG00000078902	0	1
ENSG00000079101	1	0
ENSG00000079112	3	5
ENSG00000079134	1	0
ENSG00000079246	0	1
ENSG00000079257	1	0
ENSG00000079263	3	1
ENSG00000079308	5	11
ENSG00000079313	5	0
ENSG00000079335	0	1
ENSG00000079337	2	0
ENSG00000079385	1	1
ENSG00000079387	0	1
ENSG00000079393	4	2
ENSG00000079432	0	1
ENSG00000079459	0	3
ENSG00000079691	2	3
ENSG00000079739	3	0
ENSG00000079785	0	2
ENSG00000079805	0	2
ENSG00000079819	0	1
ENSG00000079841	0	3
ENSG00000079931	0	1
ENSG00000079999	0	1
ENSG00000080007	2	0
ENSG00000080031	6	4
ENSG00000080166	0	1
ENSG00000080200	4	4
ENSG00000080224	2	2
ENSG00000080293	0	1
ENSG00000080345	4	2
ENSG00000080493	1	0
ENSG00000080503	1	2
ENSG00000080511	3	1
ENSG00000080546	1	1
ENSG00000080573	9	4
ENSG00000080608	1	1
ENSG00000080618	2	3
ENSG00000080644	0	3
ENSG00000080709	1	1
ENSG00000080802	1	0
ENSG00000080819	1	1
ENSG00000080823	1	0
ENSG00000080824	1	2
ENSG00000080854	1	4
ENSG00000080910	1	1
ENSG00000080986	2	0
ENSG00000081014	1	1
ENSG00000081019	0	2
ENSG00000081026	0	1
ENSG00000081052	4	5
ENSG00000081138	1	1
ENSG00000081148	1	1
ENSG00000081177	1	1
ENSG00000081237	0	1
ENSG00000081248	3	7
ENSG00000081277	1	3
ENSG00000081320	0	3
ENSG00000081479	4	12
ENSG00000081665	1	0
ENSG00000081692	2	1
ENSG00000081721	0	1
ENSG00000081760	1	2
ENSG00000081791	2	0
ENSG00000081800	1	0
ENSG00000081803	0	2
ENSG00000081818	3	1
ENSG00000081842	0	1
ENSG00000081853	2	1
ENSG00000081870	3	0
ENSG00000081913	0	1
ENSG00000081923	1	0
ENSG00000081985	0	2
ENSG00000082074	1	1
ENSG00000082146	0	2
ENSG00000082175	2	3
ENSG00000082212	1	0
ENSG00000082213	1	0
ENSG00000082258	1	2
ENSG00000082269	1	2
ENSG00000082293	2	2
ENSG00000082397	0	1
ENSG00000082438	3	1
ENSG00000082515	0	2
ENSG00000082516	1	2
ENSG00000082556	1	1
ENSG00000082641	1	0
ENSG00000082684	5	3
ENSG00000082781	1	2
ENSG00000082805	2	0
ENSG00000082996	0	1
ENSG00000083067	4	4
ENSG00000083093	1	0
ENSG00000083097	1	0
ENSG00000083099	1	0
ENSG00000083168	0	1
ENSG00000083223	1	1
ENSG00000083312	0	1
ENSG00000083444	1	2
ENSG00000083457	4	2
ENSG00000083520	2	1
ENSG00000083535	1	0
ENSG00000083544	1	0
ENSG00000083635	1	0
ENSG00000083642	0	1
ENSG00000083807	2	0
ENSG00000083814	1	0
ENSG00000083817	0	1
ENSG00000083828	1	0
ENSG00000083838	2	0
ENSG00000083844	2	0
ENSG00000083857	11	5
ENSG00000083937	0	1
ENSG00000084070	0	1
ENSG00000084090	1	1
ENSG00000084093	1	1
ENSG00000084110	1	1
ENSG00000084112	0	2
ENSG00000084207	1	1
ENSG00000084444	0	2
ENSG00000084453	1	0
ENSG00000084636	1	3
ENSG00000084674	5	2
ENSG00000084676	0	2
ENSG00000084710	0	2
ENSG00000084731	0	2
ENSG00000084734	1	0
ENSG00000084754	0	1
ENSG00000084774	0	2
ENSG00000085117	1	3
ENSG00000085265	2	3
ENSG00000085274	0	1
ENSG00000085276	1	1
ENSG00000085365	0	1
ENSG00000085377	2	2
ENSG00000085382	0	1
ENSG00000085415	1	0
ENSG00000085465	5	2
ENSG00000085491	0	1
ENSG00000085514	1	1
ENSG00000085552	0	2
ENSG00000085563	1	2
ENSG00000085719	1	1
ENSG00000085721	1	0
ENSG00000085733	0	2
ENSG00000085741	0	1
ENSG00000085760	2	0
ENSG00000085788	1	0
ENSG00000085831	0	1
ENSG00000085832	1	1
ENSG00000085978	1	0
ENSG00000085982	4	3
ENSG00000085998	0	1
ENSG00000085999	0	1
ENSG00000086015	2	3
ENSG00000086061	0	1
ENSG00000086189	0	1
ENSG00000086200	0	1
ENSG00000086205	1	2
ENSG00000086232	1	1
ENSG00000086288	3	4
ENSG00000086289	0	2
ENSG00000086475	0	1
ENSG00000086504	2	3
ENSG00000086506	0	1
ENSG00000086548	1	1
ENSG00000086570	8	15
ENSG00000086619	2	0
ENSG00000086967	2	1
ENSG00000087008	0	1
ENSG00000087053	1	1
ENSG00000087074	9	5
ENSG00000087076	1	1
ENSG00000087077	1	1
ENSG00000087085	1	0
ENSG00000087086	0	1
ENSG00000087087	0	1
ENSG00000087116	3	5
ENSG00000087128	2	0
ENSG00000087157	0	1
ENSG00000087191	0	2
ENSG00000087206	1	2
ENSG00000087237	1	0
ENSG00000087245	0	4
ENSG00000087253	1	0
