gene	Pn	Ps
ENSPTRG00000000365	0	1
ENSPTRG00000000371	1	1
ENSPTRG00000000373	0	1
ENSPTRG00000000375	0	1
ENSPTRG00000000377	0	1
ENSPTRG00000000378	0	1
ENSPTRG00000000382	3	1
ENSPTRG00000000384	0	1
ENSPTRG00000000386	1	0
ENSPTRG00000000388	0	1
ENSPTRG00000000394	0	2
ENSPTRG00000000395	0	1
ENSPTRG00000000396	1	0
ENSPTRG00000000402	1	0
ENSPTRG00000000403	2	0
ENSPTRG00000000409	1	0
ENSPTRG00000000410	0	1
ENSPTRG00000000411	0	1
ENSPTRG00000000413	1	0
ENSPTRG00000000416	1	0
ENSPTRG00000000417	0	2
ENSPTRG00000000419	0	2
ENSPTRG00000000420	1	0
ENSPTRG00000000421	2	1
ENSPTRG00000000423	0	1
ENSPTRG00000000429	1	2
ENSPTRG00000000436	0	1
ENSPTRG00000000439	1	1
ENSPTRG00000000442	1	3
ENSPTRG00000000446	1	0
ENSPTRG00000000447	0	4
ENSPTRG00000000449	0	1
ENSPTRG00000000450	0	1
ENSPTRG00000000451	1	2
ENSPTRG00000000455	0	1
ENSPTRG00000000457	0	1
ENSPTRG00000000458	0	1
ENSPTRG00000000462	0	1
ENSPTRG00000000464	2	1
ENSPTRG00000000465	0	1
ENSPTRG00000000466	3	2
ENSPTRG00000000472	0	1
ENSPTRG00000000474	1	0
ENSPTRG00000000479	1	1
ENSPTRG00000000484	0	2
ENSPTRG00000000485	1	2
ENSPTRG00000000489	2	0
ENSPTRG00000000490	4	4
ENSPTRG00000000491	0	1
ENSPTRG00000000492	1	2
ENSPTRG00000000493	0	1
ENSPTRG00000000495	1	0
ENSPTRG00000000499	1	0
ENSPTRG00000000501	0	2
ENSPTRG00000000507	6	10
ENSPTRG00000000512	4	1
ENSPTRG00000000513	1	0
ENSPTRG00000000514	0	1
ENSPTRG00000000515	0	1
ENSPTRG00000000516	1	1
ENSPTRG00000000519	0	1
ENSPTRG00000000521	0	1
ENSPTRG00000000526	3	1
ENSPTRG00000000528	0	1
ENSPTRG00000000529	1	0
ENSPTRG00000000532	1	1
ENSPTRG00000000534	0	1
ENSPTRG00000000535	0	2
ENSPTRG00000000541	1	0
ENSPTRG00000000542	1	3
ENSPTRG00000000543	0	2
ENSPTRG00000000547	2	2
ENSPTRG00000000548	1	1
ENSPTRG00000000549	1	0
ENSPTRG00000000551	0	1
ENSPTRG00000000552	0	1
ENSPTRG00000000553	0	1
ENSPTRG00000000557	0	1
ENSPTRG00000000558	1	0
ENSPTRG00000000560	0	2
ENSPTRG00000000563	1	3
ENSPTRG00000000564	0	1
ENSPTRG00000000575	0	2
ENSPTRG00000000579	1	2
ENSPTRG00000000580	0	1
ENSPTRG00000000581	1	3
ENSPTRG00000000584	1	0
ENSPTRG00000000585	1	5
ENSPTRG00000000587	2	1
ENSPTRG00000000589	0	1
ENSPTRG00000000590	0	1
ENSPTRG00000000591	1	0
ENSPTRG00000000592	1	1
ENSPTRG00000000596	0	1
ENSPTRG00000000597	0	3
ENSPTRG00000000600	0	2
ENSPTRG00000000601	1	0
ENSPTRG00000000602	1	0
ENSPTRG00000000603	5	7
ENSPTRG00000000606	0	1
ENSPTRG00000000608	0	1
ENSPTRG00000000614	1	0
ENSPTRG00000000616	1	1
ENSPTRG00000000617	3	2
ENSPTRG00000000618	1	1
ENSPTRG00000000621	3	5
ENSPTRG00000000623	2	1
ENSPTRG00000000626	2	4
ENSPTRG00000000631	0	1
ENSPTRG00000000635	1	1
ENSPTRG00000000639	2	8
ENSPTRG00000000640	2	0
ENSPTRG00000000641	1	1
ENSPTRG00000000644	1	1
ENSPTRG00000000648	0	3
ENSPTRG00000000652	0	1
ENSPTRG00000000655	0	1
ENSPTRG00000000658	0	3
ENSPTRG00000000661	0	1
ENSPTRG00000000662	0	1
ENSPTRG00000000664	1	5
ENSPTRG00000000668	0	1
ENSPTRG00000000669	1	1
ENSPTRG00000000672	0	1
ENSPTRG00000000673	1	1
ENSPTRG00000000675	0	1
ENSPTRG00000000676	0	2
ENSPTRG00000000677	1	0
ENSPTRG00000000679	1	0
ENSPTRG00000000680	1	2
ENSPTRG00000000681	1	1
ENSPTRG00000000683	1	1
ENSPTRG00000000687	0	1
ENSPTRG00000000689	1	0
ENSPTRG00000000692	0	1
ENSPTRG00000000693	1	2
ENSPTRG00000000697	0	1
ENSPTRG00000000701	4	1
ENSPTRG00000000702	4	1
ENSPTRG00000000705	0	1
ENSPTRG00000000707	0	2
ENSPTRG00000000709	0	1
ENSPTRG00000000711	2	2
ENSPTRG00000000712	0	1
ENSPTRG00000000716	1	3
ENSPTRG00000000718	0	1
ENSPTRG00000000721	1	0
ENSPTRG00000000724	0	1
ENSPTRG00000000728	1	1
ENSPTRG00000000729	0	1
ENSPTRG00000000730	0	3
ENSPTRG00000000731	1	0
ENSPTRG00000000736	2	2
ENSPTRG00000000737	0	1
ENSPTRG00000000738	0	4
ENSPTRG00000000739	0	1
ENSPTRG00000000740	0	1
ENSPTRG00000000746	0	3
ENSPTRG00000000747	2	0
ENSPTRG00000000748	0	1
ENSPTRG00000000749	0	1
ENSPTRG00000000750	1	5
ENSPTRG00000000751	5	4
ENSPTRG00000000754	0	3
ENSPTRG00000000755	1	1
ENSPTRG00000000756	0	1
ENSPTRG00000000757	5	2
ENSPTRG00000000759	0	1
ENSPTRG00000000761	1	0
ENSPTRG00000000762	1	0
ENSPTRG00000000764	0	1
ENSPTRG00000000770	0	1
ENSPTRG00000000771	1	1
ENSPTRG00000000772	1	0
ENSPTRG00000000773	6	5
ENSPTRG00000000776	1	2
ENSPTRG00000000778	1	0
ENSPTRG00000000779	0	2
ENSPTRG00000000782	1	1
ENSPTRG00000000783	2	1
ENSPTRG00000000784	0	5
ENSPTRG00000000787	1	2
ENSPTRG00000000788	0	1
ENSPTRG00000000790	3	0
ENSPTRG00000000791	1	3
ENSPTRG00000000792	4	5
ENSPTRG00000000793	1	1
ENSPTRG00000000796	0	1
ENSPTRG00000000798	1	1
ENSPTRG00000000800	3	0
ENSPTRG00000000801	2	0
ENSPTRG00000000802	1	0
ENSPTRG00000000803	0	1
ENSPTRG00000000806	7	6
ENSPTRG00000000809	4	4
ENSPTRG00000000810	0	3
ENSPTRG00000000811	0	5
ENSPTRG00000000812	1	0
ENSPTRG00000000815	2	3
ENSPTRG00000000820	2	0
ENSPTRG00000000823	1	3
ENSPTRG00000000824	1	1
ENSPTRG00000000825	0	2
ENSPTRG00000000829	1	5
ENSPTRG00000000831	3	2
ENSPTRG00000000832	0	3
ENSPTRG00000000838	0	3
ENSPTRG00000000839	2	0
ENSPTRG00000000840	3	3
ENSPTRG00000000842	0	1
ENSPTRG00000000845	1	1
ENSPTRG00000000846	1	3
ENSPTRG00000000847	5	1
ENSPTRG00000000848	0	2
ENSPTRG00000000850	2	2
ENSPTRG00000000852	1	0
ENSPTRG00000000853	0	2
ENSPTRG00000000854	1	3
ENSPTRG00000000855	1	0
ENSPTRG00000000861	0	2
ENSPTRG00000000862	0	2
ENSPTRG00000000863	20	2
ENSPTRG00000000867	2	1
ENSPTRG00000000869	2	1
ENSPTRG00000000871	1	1
ENSPTRG00000000873	1	3
ENSPTRG00000000874	1	0
ENSPTRG00000000875	1	0
ENSPTRG00000000877	0	1
ENSPTRG00000000878	0	1
ENSPTRG00000000880	2	3
ENSPTRG00000000881	1	0
ENSPTRG00000000882	0	2
ENSPTRG00000000884	0	2
ENSPTRG00000000886	2	3
ENSPTRG00000000889	0	1
ENSPTRG00000000893	1	2
ENSPTRG00000000894	0	2
ENSPTRG00000000896	1	1
ENSPTRG00000000898	0	3
ENSPTRG00000000900	1	0
ENSPTRG00000000903	0	1
ENSPTRG00000000904	1	0
ENSPTRG00000000906	0	4
ENSPTRG00000000907	0	1
ENSPTRG00000000908	1	2
ENSPTRG00000000909	2	2
ENSPTRG00000000910	2	2
ENSPTRG00000000912	2	1
ENSPTRG00000000914	1	1
ENSPTRG00000000915	0	1
ENSPTRG00000000919	5	2
ENSPTRG00000000921	7	2
ENSPTRG00000000922	10	0
ENSPTRG00000000923	5	7
ENSPTRG00000000927	1	1
ENSPTRG00000000931	0	1
ENSPTRG00000000932	0	2
ENSPTRG00000000934	4	0
ENSPTRG00000000935	3	4
ENSPTRG00000000937	1	3
ENSPTRG00000000938	0	2
ENSPTRG00000000939	3	3
ENSPTRG00000000940	1	0
ENSPTRG00000000942	0	4
ENSPTRG00000000945	0	1
ENSPTRG00000000946	0	1
ENSPTRG00000000947	0	2
ENSPTRG00000000948	3	3
ENSPTRG00000000952	1	2
ENSPTRG00000000954	1	0
ENSPTRG00000000956	0	2
ENSPTRG00000000958	4	5
ENSPTRG00000000960	3	0
ENSPTRG00000000964	0	1
ENSPTRG00000000965	0	1
ENSPTRG00000000967	3	4
ENSPTRG00000000970	0	1
ENSPTRG00000000971	1	5
ENSPTRG00000000972	1	1
ENSPTRG00000000975	2	4
ENSPTRG00000000976	0	1
ENSPTRG00000000977	1	0
ENSPTRG00000000979	0	1
ENSPTRG00000000980	2	0
ENSPTRG00000000984	0	1
ENSPTRG00000000987	1	2
ENSPTRG00000000990	0	3
ENSPTRG00000000992	1	2
ENSPTRG00000000993	1	2
ENSPTRG00000000994	1	2
ENSPTRG00000000995	0	1
ENSPTRG00000000996	3	0
ENSPTRG00000000997	0	6
ENSPTRG00000000999	1	3
ENSPTRG00000001000	2	2
ENSPTRG00000001001	2	0
ENSPTRG00000001002	0	1
ENSPTRG00000001003	0	3
ENSPTRG00000001004	1	0
ENSPTRG00000001007	5	0
ENSPTRG00000001009	1	3
ENSPTRG00000001015	0	1
ENSPTRG00000001017	2	4
ENSPTRG00000001022	0	1
ENSPTRG00000001023	1	1
ENSPTRG00000001024	2	4
ENSPTRG00000001026	2	2
ENSPTRG00000001027	1	0
ENSPTRG00000001028	3	1
ENSPTRG00000001030	0	1
ENSPTRG00000001031	2	1
ENSPTRG00000001033	0	3
ENSPTRG00000001034	0	2
ENSPTRG00000001036	10	5
ENSPTRG00000001037	1	1
ENSPTRG00000001038	5	3
ENSPTRG00000001039	1	0
ENSPTRG00000001041	1	0
ENSPTRG00000001042	2	4
ENSPTRG00000001043	0	1
ENSPTRG00000001044	1	4
ENSPTRG00000001045	1	1
ENSPTRG00000001046	0	1
ENSPTRG00000001054	0	1
ENSPTRG00000001055	0	1
ENSPTRG00000001056	0	1
ENSPTRG00000001057	0	1
ENSPTRG00000001060	1	0
ENSPTRG00000001062	5	0
ENSPTRG00000001065	1	0
ENSPTRG00000001069	0	6
ENSPTRG00000001070	1	1
ENSPTRG00000001073	1	1
ENSPTRG00000001078	0	1
ENSPTRG00000001080	1	1
ENSPTRG00000001082	1	1
ENSPTRG00000001086	2	1
ENSPTRG00000001087	2	0
ENSPTRG00000001092	1	0
ENSPTRG00000001095	2	0
ENSPTRG00000001097	0	1
ENSPTRG00000001098	3	0
ENSPTRG00000001099	1	0
ENSPTRG00000001100	0	1
ENSPTRG00000001101	3	0
ENSPTRG00000001104	1	0
ENSPTRG00000001105	1	0
ENSPTRG00000001107	0	1
ENSPTRG00000001109	1	0
ENSPTRG00000001110	1	0
ENSPTRG00000001111	0	1
ENSPTRG00000001112	0	2
ENSPTRG00000001113	1	1
ENSPTRG00000001114	1	0
ENSPTRG00000001116	0	2
ENSPTRG00000001120	1	0
ENSPTRG00000001121	3	0
ENSPTRG00000001125	1	1
ENSPTRG00000001127	0	3
ENSPTRG00000001128	0	1
ENSPTRG00000001131	1	1
ENSPTRG00000001132	0	2
ENSPTRG00000001133	2	0
ENSPTRG00000001136	0	1
ENSPTRG00000001137	2	3
ENSPTRG00000001139	2	0
ENSPTRG00000001143	4	1
ENSPTRG00000001145	2	1
ENSPTRG00000001147	1	3
ENSPTRG00000001148	0	1
ENSPTRG00000001150	1	0
ENSPTRG00000001151	2	3
ENSPTRG00000001152	0	3
ENSPTRG00000001153	0	1
ENSPTRG00000001154	1	2
ENSPTRG00000001157	1	0
ENSPTRG00000001158	1	4
ENSPTRG00000001160	2	6
ENSPTRG00000001162	3	3
ENSPTRG00000001163	9	0
ENSPTRG00000001164	0	1
ENSPTRG00000001167	2	2
ENSPTRG00000001168	3	2
ENSPTRG00000001170	5	2
ENSPTRG00000001173	1	2
ENSPTRG00000001174	3	1
ENSPTRG00000001177	1	0
ENSPTRG00000001178	0	1
ENSPTRG00000001179	0	1
ENSPTRG00000001188	8	3
ENSPTRG00000001198	0	1
ENSPTRG00000001201	0	1
ENSPTRG00000001202	1	1
ENSPTRG00000001203	0	1
ENSPTRG00000001204	5	1
ENSPTRG00000001206	0	1
ENSPTRG00000001207	5	0
ENSPTRG00000001208	1	2
ENSPTRG00000001211	1	1
ENSPTRG00000001213	0	2
ENSPTRG00000001218	1	0
ENSPTRG00000001219	0	3
ENSPTRG00000001220	3	0
ENSPTRG00000001222	0	4
ENSPTRG00000001223	0	1
ENSPTRG00000001225	0	1
ENSPTRG00000001233	2	1
ENSPTRG00000001244	0	1
ENSPTRG00000001245	0	1
ENSPTRG00000001247	2	0
ENSPTRG00000001249	0	2
ENSPTRG00000001252	0	2
ENSPTRG00000001255	0	1
ENSPTRG00000001256	1	1
ENSPTRG00000001258	1	1
ENSPTRG00000001261	1	0
ENSPTRG00000001263	1	1
ENSPTRG00000001264	0	1
ENSPTRG00000001266	1	1
ENSPTRG00000001269	0	1
ENSPTRG00000001270	0	1
ENSPTRG00000001272	2	1
ENSPTRG00000001275	2	1
ENSPTRG00000001276	1	2
ENSPTRG00000001279	1	1
ENSPTRG00000001281	1	2
ENSPTRG00000001285	0	2
ENSPTRG00000001287	0	2
ENSPTRG00000001288	1	0
ENSPTRG00000001289	0	1
ENSPTRG00000001291	2	2
ENSPTRG00000001292	1	0
ENSPTRG00000001297	1	0
ENSPTRG00000001305	3	2
ENSPTRG00000001312	12	3
ENSPTRG00000001313	5	1
ENSPTRG00000001314	4	0
ENSPTRG00000001319	0	1
ENSPTRG00000001320	1	0
ENSPTRG00000001321	2	0
ENSPTRG00000001337	2	0
ENSPTRG00000001342	1	1
ENSPTRG00000001344	1	3
ENSPTRG00000001345	0	1
ENSPTRG00000001347	0	2
ENSPTRG00000001360	0	1
ENSPTRG00000001362	0	1
ENSPTRG00000001365	0	2
ENSPTRG00000001366	1	1
ENSPTRG00000001367	1	0
ENSPTRG00000001368	1	0
ENSPTRG00000001370	0	2
ENSPTRG00000001372	3	0
ENSPTRG00000001377	0	1
ENSPTRG00000001378	1	1
ENSPTRG00000001379	1	2
ENSPTRG00000001380	1	1
ENSPTRG00000001382	2	2
ENSPTRG00000001383	2	2
ENSPTRG00000001385	1	0
ENSPTRG00000001386	1	1
ENSPTRG00000001389	1	0
ENSPTRG00000001392	1	4
ENSPTRG00000001393	1	0
ENSPTRG00000001394	1	0
ENSPTRG00000001399	2	1
ENSPTRG00000001403	0	2
ENSPTRG00000001404	1	1
ENSPTRG00000001410	0	1
ENSPTRG00000001411	0	2
ENSPTRG00000001412	3	1
ENSPTRG00000001413	2	1
ENSPTRG00000001416	0	1
ENSPTRG00000001421	0	2
ENSPTRG00000001425	0	2
ENSPTRG00000001427	0	3
ENSPTRG00000001428	1	1
ENSPTRG00000001429	2	0
ENSPTRG00000001430	0	1
ENSPTRG00000001433	3	6
ENSPTRG00000001442	1	0
ENSPTRG00000001444	0	1
ENSPTRG00000001447	0	1
ENSPTRG00000001448	1	1
ENSPTRG00000001455	0	1
ENSPTRG00000001456	2	0
ENSPTRG00000001458	3	0
ENSPTRG00000001459	1	0
ENSPTRG00000001461	2	3
ENSPTRG00000001462	0	2
ENSPTRG00000001464	2	0
ENSPTRG00000001467	2	1
ENSPTRG00000001468	7	2
ENSPTRG00000001470	0	1
ENSPTRG00000001472	1	1
ENSPTRG00000001474	0	1
ENSPTRG00000001475	0	2
ENSPTRG00000001476	1	1
ENSPTRG00000001477	1	0
ENSPTRG00000001478	1	0
ENSPTRG00000001480	0	5
ENSPTRG00000001483	0	1
ENSPTRG00000001485	2	0
ENSPTRG00000001487	8	4
ENSPTRG00000001488	2	0
ENSPTRG00000001492	6	2
ENSPTRG00000001497	2	2
ENSPTRG00000001498	14	2
ENSPTRG00000001499	3	1
ENSPTRG00000001501	0	3
ENSPTRG00000001504	2	1
ENSPTRG00000001505	2	1
ENSPTRG00000001508	2	0
ENSPTRG00000001510	9	8
ENSPTRG00000001515	1	1
ENSPTRG00000001517	2	1
ENSPTRG00000001518	1	2
ENSPTRG00000001520	0	1
ENSPTRG00000001521	1	4
ENSPTRG00000001522	1	0
ENSPTRG00000001523	1	0
ENSPTRG00000001525	0	1
ENSPTRG00000001527	0	1
ENSPTRG00000001529	1	2
ENSPTRG00000001530	1	1
ENSPTRG00000001531	2	3
ENSPTRG00000001533	0	1
ENSPTRG00000001535	3	1
ENSPTRG00000001542	2	0
ENSPTRG00000001546	1	2
ENSPTRG00000001548	1	1
ENSPTRG00000001549	0	1
ENSPTRG00000001550	0	2
ENSPTRG00000001552	0	1
ENSPTRG00000001554	3	2
ENSPTRG00000001556	0	2
ENSPTRG00000001557	2	0
ENSPTRG00000001558	1	0
ENSPTRG00000001559	4	1
ENSPTRG00000001560	3	0
ENSPTRG00000001561	2	0
ENSPTRG00000001563	3	4
ENSPTRG00000001564	0	2
ENSPTRG00000001566	1	3
ENSPTRG00000001567	1	0
ENSPTRG00000001568	2	0
ENSPTRG00000001569	0	1
ENSPTRG00000001570	1	0
ENSPTRG00000001571	0	1
ENSPTRG00000001573	1	0
ENSPTRG00000001574	0	1
ENSPTRG00000001577	0	4
ENSPTRG00000001580	1	0
ENSPTRG00000001582	2	1
ENSPTRG00000001584	0	2
ENSPTRG00000001586	0	1
ENSPTRG00000001592	1	0
ENSPTRG00000001594	0	1
ENSPTRG00000001596	1	2
ENSPTRG00000001597	0	1
ENSPTRG00000001598	0	1
ENSPTRG00000001601	0	1
ENSPTRG00000001602	0	1
ENSPTRG00000001603	0	1
ENSPTRG00000001608	1	0
ENSPTRG00000001609	1	0
ENSPTRG00000001611	2	1
ENSPTRG00000001612	0	3
ENSPTRG00000001614	0	1
ENSPTRG00000001617	2	2
ENSPTRG00000001618	1	1
ENSPTRG00000001626	0	3
ENSPTRG00000001630	0	1
ENSPTRG00000001638	0	4
ENSPTRG00000001641	0	1
ENSPTRG00000001644	0	1
ENSPTRG00000001651	0	2
ENSPTRG00000001653	0	1
ENSPTRG00000001655	1	0
ENSPTRG00000001657	2	0
ENSPTRG00000001658	0	1
ENSPTRG00000001659	9	6
ENSPTRG00000001660	12	8
ENSPTRG00000001661	1	2
ENSPTRG00000001662	1	1
ENSPTRG00000001664	3	2
ENSPTRG00000001665	0	1
ENSPTRG00000001666	0	1
ENSPTRG00000001667	1	1
ENSPTRG00000001669	5	1
ENSPTRG00000001670	1	1
ENSPTRG00000001671	4	2
ENSPTRG00000001672	2	2
ENSPTRG00000001674	0	2
ENSPTRG00000001676	3	0
ENSPTRG00000001678	4	4
ENSPTRG00000001679	2	1
ENSPTRG00000001682	2	2
ENSPTRG00000001684	2	1
ENSPTRG00000001685	1	0
ENSPTRG00000001687	2	1
ENSPTRG00000001689	4	2
ENSPTRG00000001692	1	0
ENSPTRG00000001694	3	1
ENSPTRG00000001695	0	2
ENSPTRG00000001696	1	2
ENSPTRG00000001697	0	2
ENSPTRG00000001698	2	0
ENSPTRG00000001700	0	1
ENSPTRG00000001701	1	0
ENSPTRG00000001702	0	1
ENSPTRG00000001703	0	1
ENSPTRG00000001707	4	3
ENSPTRG00000001711	0	2
ENSPTRG00000001712	3	1
ENSPTRG00000001717	0	1
ENSPTRG00000001720	3	0
ENSPTRG00000001722	2	1
ENSPTRG00000001724	0	1
ENSPTRG00000001726	2	1
ENSPTRG00000001728	1	0
ENSPTRG00000001729	3	4
ENSPTRG00000001731	0	1
ENSPTRG00000001732	2	1
ENSPTRG00000001734	2	0
ENSPTRG00000001736	1	0
ENSPTRG00000001738	0	6
ENSPTRG00000001739	0	2
ENSPTRG00000001741	1	3
ENSPTRG00000001743	0	2
ENSPTRG00000001744	2	1
ENSPTRG00000001746	1	0
ENSPTRG00000001749	1	4
ENSPTRG00000001751	0	1
ENSPTRG00000001755	2	0
ENSPTRG00000001759	0	1
ENSPTRG00000001760	0	2
ENSPTRG00000001761	1	4
ENSPTRG00000001762	6	7
ENSPTRG00000001763	1	0
ENSPTRG00000001764	0	1
ENSPTRG00000001766	1	2
ENSPTRG00000001767	0	1
ENSPTRG00000001768	1	2
ENSPTRG00000001773	0	1
ENSPTRG00000001774	3	3
ENSPTRG00000001776	0	1
ENSPTRG00000001777	4	1
ENSPTRG00000001779	0	2
ENSPTRG00000001780	8	11
ENSPTRG00000001783	1	9
ENSPTRG00000001787	0	3
ENSPTRG00000001788	0	1
ENSPTRG00000001791	0	1
ENSPTRG00000001792	1	1
ENSPTRG00000001794	1	1
ENSPTRG00000001798	1	4
ENSPTRG00000001799	6	1
ENSPTRG00000001800	2	1
ENSPTRG00000001804	2	0
ENSPTRG00000001805	6	1
ENSPTRG00000001806	0	4
ENSPTRG00000001807	7	1
ENSPTRG00000001808	0	2
ENSPTRG00000001809	10	2
ENSPTRG00000001814	1	0
ENSPTRG00000001817	6	7
ENSPTRG00000001818	0	1
ENSPTRG00000001820	5	3
ENSPTRG00000001821	1	3
ENSPTRG00000001822	0	2
ENSPTRG00000001825	1	7
ENSPTRG00000001827	3	6
ENSPTRG00000001829	0	1
ENSPTRG00000001831	2	1
ENSPTRG00000001832	0	1
ENSPTRG00000001833	1	1
ENSPTRG00000001834	0	2
ENSPTRG00000001835	0	1
ENSPTRG00000001836	1	2
ENSPTRG00000001837	3	7
ENSPTRG00000001841	2	2
ENSPTRG00000001843	1	0
ENSPTRG00000001844	1	1
ENSPTRG00000001845	0	1
ENSPTRG00000001848	1	1
ENSPTRG00000001849	1	3
ENSPTRG00000001850	1	0
ENSPTRG00000001851	1	0
ENSPTRG00000001856	2	4
ENSPTRG00000001861	0	2
ENSPTRG00000001862	0	1
ENSPTRG00000001863	0	1
ENSPTRG00000001867	0	1
ENSPTRG00000001868	3	0
ENSPTRG00000001869	0	2
ENSPTRG00000001872	0	1
ENSPTRG00000001873	1	1
ENSPTRG00000001874	1	0
ENSPTRG00000001876	2	0
ENSPTRG00000001881	1	2
ENSPTRG00000001882	0	2
ENSPTRG00000001883	0	1
ENSPTRG00000001884	1	1
ENSPTRG00000001885	0	1
ENSPTRG00000001886	0	1
ENSPTRG00000001888	1	4
ENSPTRG00000001889	0	3
ENSPTRG00000001891	1	1
ENSPTRG00000001892	0	6
ENSPTRG00000001895	2	1
ENSPTRG00000001896	1	3
ENSPTRG00000001897	1	0
ENSPTRG00000001901	0	1
ENSPTRG00000001902	3	0
ENSPTRG00000001907	1	0
ENSPTRG00000001908	0	3
