sample	fastq
4X0339	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0339_S5_L001_R1_001.fastq.gz
4X0339	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0339_S5_L002_R1_001.fastq.gz
4X0339	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0339_S5_L003_R1_001.fastq.gz
4X0339	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0339_S5_L004_R1_001.fastq.gz
4X0339	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0339_S5_L005_R1_001.fastq.gz
4X0339	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0339_S5_L006_R1_001.fastq.gz
4X0354	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0354_S6_L001_R1_001.fastq.gz
4X0354	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0354_S6_L002_R1_001.fastq.gz
4X0354	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0354_S6_L003_R1_001.fastq.gz
4X0354	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0354_S6_L004_R1_001.fastq.gz
4X0354	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0354_S6_L005_R1_001.fastq.gz
4X0354	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0354_S6_L006_R1_001.fastq.gz
4X0357	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0357_S7_L001_R1_001.fastq.gz
4X0357	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0357_S7_L002_R1_001.fastq.gz
4X0357	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0357_S7_L003_R1_001.fastq.gz
4X0357	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0357_S7_L004_R1_001.fastq.gz
4X0357	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0357_S7_L005_R1_001.fastq.gz
4X0357	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0357_S7_L006_R1_001.fastq.gz
4X0550	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0550_S8_L001_R1_001.fastq.gz
4X0550	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0550_S8_L002_R1_001.fastq.gz
4X0550	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0550_S8_L003_R1_001.fastq.gz
4X0550	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0550_S8_L004_R1_001.fastq.gz
4X0550	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0550_S8_L005_R1_001.fastq.gz
4X0550	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-4x0550_S8_L006_R1_001.fastq.gz
522	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-522_S23_L001_R1_001.fastq.gz
522	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-522_S23_L002_R1_001.fastq.gz
522	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-522_S23_L003_R1_001.fastq.gz
522	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-522_S23_L004_R1_001.fastq.gz
522	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-522_S23_L005_R1_001.fastq.gz
522	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-522_S23_L006_R1_001.fastq.gz
495	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Amos_S9_L001_R1_001.fastq.gz
495	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Amos_S9_L002_R1_001.fastq.gz
495	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Amos_S9_L003_R1_001.fastq.gz
495	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Amos_S9_L004_R1_001.fastq.gz
495	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Amos_S9_L005_R1_001.fastq.gz
495	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Amos_S9_L006_R1_001.fastq.gz
554_2	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Anja2_S11_L001_R1_001.fastq.gz
554_2	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Anja2_S11_L002_R1_001.fastq.gz
554_2	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Anja2_S11_L003_R1_001.fastq.gz
554_2	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Anja2_S11_L004_R1_001.fastq.gz
554_2	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Anja2_S11_L005_R1_001.fastq.gz
554_2	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Anja2_S11_L006_R1_001.fastq.gz
554	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Anja_S10_L001_R1_001.fastq.gz
554	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Anja_S10_L002_R1_001.fastq.gz
554	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Anja_S10_L003_R1_001.fastq.gz
554	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Anja_S10_L004_R1_001.fastq.gz
554	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Anja_S10_L005_R1_001.fastq.gz
554	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Anja_S10_L006_R1_001.fastq.gz
676	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Callie_S12_L001_R1_001.fastq.gz
676	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Callie_S12_L002_R1_001.fastq.gz
676	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Callie_S12_L003_R1_001.fastq.gz
676	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Callie_S12_L004_R1_001.fastq.gz
676	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Callie_S12_L005_R1_001.fastq.gz
676	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Callie_S12_L006_R1_001.fastq.gz
503	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Carmichael_S13_L001_R1_001.fastq.gz
503	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Carmichael_S13_L002_R1_001.fastq.gz
503	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Carmichael_S13_L003_R1_001.fastq.gz
503	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Carmichael_S13_L004_R1_001.fastq.gz
503	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Carmichael_S13_L005_R1_001.fastq.gz
503	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Carmichael_S13_L006_R1_001.fastq.gz
558	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Cynthia_S14_L001_R1_001.fastq.gz
558	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Cynthia_S14_L002_R1_001.fastq.gz
558	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Cynthia_S14_L003_R1_001.fastq.gz
558	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Cynthia_S14_L004_R1_001.fastq.gz
558	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Cynthia_S14_L005_R1_001.fastq.gz
558	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Cynthia_S14_L006_R1_001.fastq.gz
295	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Duncan_S15_L001_R1_001.fastq.gz
295	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Duncan_S15_L002_R1_001.fastq.gz
295	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Duncan_S15_L003_R1_001.fastq.gz
295	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Duncan_S15_L004_R1_001.fastq.gz
295	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Duncan_S15_L005_R1_001.fastq.gz
295	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Duncan_S15_L006_R1_001.fastq.gz
529	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Justin_S16_L001_R1_001.fastq.gz
529	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Justin_S16_L002_R1_001.fastq.gz
529	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Justin_S16_L003_R1_001.fastq.gz
529	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Justin_S16_L004_R1_001.fastq.gz
529	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Justin_S16_L005_R1_001.fastq.gz
529	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Justin_S16_L006_R1_001.fastq.gz
724	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Kerri_S17_L001_R1_001.fastq.gz
724	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Kerri_S17_L002_R1_001.fastq.gz
724	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Kerri_S17_L003_R1_001.fastq.gz
724	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Kerri_S17_L004_R1_001.fastq.gz
724	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Kerri_S17_L005_R1_001.fastq.gz
724	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Kerri_S17_L006_R1_001.fastq.gz
Little_R	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-LittleRock_S18_L001_R1_001.fastq.gz
Little_R	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-LittleRock_S18_L002_R1_001.fastq.gz
Little_R	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-LittleRock_S18_L003_R1_001.fastq.gz
Little_R	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-LittleRock_S18_L004_R1_001.fastq.gz
Little_R	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-LittleRock_S18_L005_R1_001.fastq.gz
Little_R	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-LittleRock_S18_L006_R1_001.fastq.gz
476	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Lulu_S19_L001_R1_001.fastq.gz
476	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Lulu_S19_L002_R1_001.fastq.gz
476	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Lulu_S19_L003_R1_001.fastq.gz
476	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Lulu_S19_L004_R1_001.fastq.gz
476	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Lulu_S19_L005_R1_001.fastq.gz
476	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Lulu_S19_L006_R1_001.fastq.gz
389	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Rogger_S20_L001_R1_001.fastq.gz
389	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Rogger_S20_L002_R1_001.fastq.gz
389	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Rogger_S20_L003_R1_001.fastq.gz
389	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Rogger_S20_L004_R1_001.fastq.gz
389	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Rogger_S20_L005_R1_001.fastq.gz
389	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Rogger_S20_L006_R1_001.fastq.gz
537	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Socrates_S21_L001_R1_001.fastq.gz
537	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Socrates_S21_L002_R1_001.fastq.gz
537	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Socrates_S21_L003_R1_001.fastq.gz
537	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Socrates_S21_L004_R1_001.fastq.gz
537	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Socrates_S21_L005_R1_001.fastq.gz
537	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF01-Socrates_S21_L006_R1_001.fastq.gz
438	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-2-438_S6_L007_R1_001.fastq.gz
4x0025	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-2-4x0025_S1_L007_R1_001.fastq.gz
4x0043	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-2-4x0043_S9_L007_R1_001.fastq.gz
4x0430	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-2-4x0430_S7_L007_R1_001.fastq.gz
4x0519	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-2-4x0519_S4_L007_R1_001.fastq.gz
4x523	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-2-4x523_S5_L007_R1_001.fastq.gz
549	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-2-549_S8_L007_R1_001.fastq.gz
570	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-2-570_S3_L007_R1_001.fastq.gz
95A014	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-2-95A014_S2_L007_R1_001.fastq.gz
295	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-3-295_S10_L008_R1_001.fastq.gz
317	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-3-317_S12_L008_R1_001.fastq.gz
338	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-3-338_S14_L008_R1_001.fastq.gz
456	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-3-456_S11_L008_R1_001.fastq.gz
476	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-3-476_S16_L008_R1_001.fastq.gz
623	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-3-623_S17_L008_R1_001.fastq.gz
88A020	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-3-88A020_S15_L008_R1_001.fastq.gz
MD_And	/project2/gilad/bjf79_project1/raw_data/fastq/20190301_ChimpHeart_RNASeq/YG-BF-3-MD-And_S13_L008_R1_001.fastq.gz
