ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge
BP	GO:0061919	process utilizing autophagic mechanism	362	-0.32580628171117254	-1.7333079693620457	1.5549004241768357e-6	3.874755280502145e-5	2.194184033110864e-5	2306	tags=33%, list=21%, signal=27%
BP	GO:0006281	DNA repair	352	-0.43157403813645867	-2.289769729692136	1.5572976525295185e-6	3.874755280502145e-5	2.194184033110864e-5	2812	tags=45%, list=26%, signal=34%
BP	GO:0006397	mRNA processing	348	-0.5073266214001445	-2.688579341458885	1.5591235231202428e-6	3.874755280502145e-5	2.194184033110864e-5	3020	tags=53%, list=28%, signal=40%
CC	GO:0000228	nuclear chromosome	334	-0.3385773918716954	-1.7865956822407558	1.565817575989127e-6	3.874755280502145e-5	2.194184033110864e-5	3091	tags=41%, list=29%, signal=30%
BP	GO:0016569	covalent chromatin modification	326	-0.36559370146397785	-1.9242381558505157	1.5689621629084794e-6	3.874755280502145e-5	2.194184033110864e-5	3464	tags=48%, list=32%, signal=33%
BP	GO:0016570	histone modification	315	-0.3623638996050035	-1.9002207384914114	1.5739603991563573e-6	3.874755280502145e-5	2.194184033110864e-5	3279	tags=45%, list=31%, signal=32%
CC	GO:0044454	nuclear chromosome part	311	-0.34118676729451297	-1.786752597832784	1.575763496808291e-6	3.874755280502145e-5	2.194184033110864e-5	3091	tags=42%, list=29%, signal=31%
BP	GO:0008380	RNA splicing	306	-0.4912246804157823	-2.5681666950001647	1.5776827311581295e-6	3.874755280502145e-5	2.194184033110864e-5	2949	tags=50%, list=27%, signal=37%
BP	GO:0018205	peptidyl-lysine modification	280	-0.3879455514344747	-2.007946889296979	1.5918218560324477e-6	3.874755280502145e-5	2.194184033110864e-5	2861	tags=43%, list=27%, signal=33%
BP	GO:0022613	ribonucleoprotein complex biogenesis	271	-0.49855430318992844	-2.5711422820174343	1.5954230503531469e-6	3.874755280502145e-5	2.194184033110864e-5	2132	tags=40%, list=20%, signal=33%
MF	GO:0019787	ubiquitin-like protein transferase activity	262	-0.37410718475814014	-1.921732579976833	1.600732495189799e-6	3.874755280502145e-5	2.194184033110864e-5	3633	tags=50%, list=34%, signal=34%
BP	GO:0006401	RNA catabolic process	257	-0.3628028187861269	-1.8594717409717103	1.6037154880426973e-6	3.874755280502145e-5	2.194184033110864e-5	3291	tags=44%, list=31%, signal=31%
BP	GO:0048193	Golgi vesicle transport	244	-0.3630331630588252	-1.8493135747513685	1.610510837932684e-6	3.874755280502145e-5	2.194184033110864e-5	2057	tags=32%, list=19%, signal=26%
MF	GO:0004842	ubiquitin-protein transferase activity	241	-0.3688649163772749	-1.8762107228466585	1.6118633139909735e-6	3.874755280502145e-5	2.194184033110864e-5	3633	tags=49%, list=34%, signal=33%
BP	GO:0000375	RNA splicing, via transesterification reactions	238	-0.523244727501135	-2.6573771645585245	1.6139627142333758e-6	3.874755280502145e-5	2.194184033110864e-5	2949	tags=53%, list=27%, signal=39%
BP	GO:0006402	mRNA catabolic process	238	-0.37197917475157377	-1.8891522699079901	1.6139627142333758e-6	3.874755280502145e-5	2.194184033110864e-5	3291	tags=44%, list=31%, signal=31%
BP	GO:0032259	methylation	237	-0.4237743825986699	-2.1510855755184677	1.614332691367033e-6	3.874755280502145e-5	2.194184033110864e-5	2049	tags=36%, list=19%, signal=30%
BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	234	-0.519433940400848	-2.632737370389249	1.6156132868036707e-6	3.874755280502145e-5	2.194184033110864e-5	2949	tags=53%, list=27%, signal=39%
BP	GO:0000398	mRNA splicing, via spliceosome	234	-0.519433940400848	-2.632737370389249	1.6156132868036707e-6	3.874755280502145e-5	2.194184033110864e-5	2949	tags=53%, list=27%, signal=39%
BP	GO:0060271	cilium assembly	234	-0.36196689425843614	-1.8346197566961353	1.6156132868036707e-6	3.874755280502145e-5	2.194184033110864e-5	3657	tags=47%, list=34%, signal=31%
BP	GO:0034470	ncRNA processing	232	-0.5117703095483763	-2.5911589456745627	1.6167233867121504e-6	3.874755280502145e-5	2.194184033110864e-5	3193	tags=55%, list=30%, signal=40%
BP	GO:0000209	protein polyubiquitination	229	-0.43441772827694736	-2.195854348769106	1.618971758656642e-6	3.874755280502145e-5	2.194184033110864e-5	3321	tags=53%, list=31%, signal=38%
CC	GO:0098687	chromosomal region	229	-0.3863572420863995	-1.9529226709481842	1.618971758656642e-6	3.874755280502145e-5	2.194184033110864e-5	2582	tags=40%, list=24%, signal=31%
BP	GO:0070646	protein modification by small protein removal	218	-0.4186143768781588	-2.103135789424104	1.6253027126302275e-6	3.874755280502145e-5	2.194184033110864e-5	2917	tags=49%, list=27%, signal=36%
BP	GO:0016236	macroautophagy	213	-0.37958679362248066	-1.9014871768052282	1.628012229627869e-6	3.874755280502145e-5	2.194184033110864e-5	2835	tags=41%, list=26%, signal=31%
MF	GO:0140098	catalytic activity, acting on RNA	212	-0.4824364515965507	-2.4152830094834443	1.6285159659705303e-6	3.874755280502145e-5	2.194184033110864e-5	2829	tags=50%, list=26%, signal=38%
BP	GO:1903311	regulation of mRNA metabolic process	210	-0.41243599974192247	-2.0623342215526765	1.62973948614314e-6	3.874755280502145e-5	2.194184033110864e-5	3291	tags=50%, list=31%, signal=36%
BP	GO:0040029	regulation of gene expression, epigenetic	209	-0.39210179453028887	-1.9594786950161702	1.6300901602867655e-6	3.874755280502145e-5	2.194184033110864e-5	2733	tags=40%, list=25%, signal=31%
BP	GO:0016579	protein deubiquitination	205	-0.40786777690994647	-2.033160423592097	1.6327410293125998e-6	3.874755280502145e-5	2.194184033110864e-5	2915	tags=49%, list=27%, signal=36%
BP	GO:0044839	cell cycle G2/M phase transition	194	-0.3882929352483688	-1.9218583554283661	1.6391266077783114e-6	3.874755280502145e-5	2.194184033110864e-5	1838	tags=35%, list=17%, signal=30%
BP	GO:0043414	macromolecule methylation	193	-0.4858842168691775	-2.403147843398746	1.639575415550389e-6	3.874755280502145e-5	2.194184033110864e-5	1976	tags=40%, list=18%, signal=33%
BP	GO:0031503	protein-containing complex localization	178	-0.39767260834130663	-1.945676347143598	1.6483779137140098e-6	3.874755280502145e-5	2.194184033110864e-5	1731	tags=32%, list=16%, signal=27%
BP	GO:0042254	ribosome biogenesis	159	-0.4887497172472278	-2.354000364636443	1.6603573088928737e-6	3.874755280502145e-5	2.194184033110864e-5	2132	tags=38%, list=20%, signal=31%
BP	GO:0016458	gene silencing	157	-0.44589387670096126	-2.143388020705632	1.6625214465266601e-6	3.874755280502145e-5	2.194184033110864e-5	2733	tags=44%, list=25%, signal=33%
BP	GO:0006403	RNA localization	156	-0.47000499485219516	-2.2573451485552196	1.6634866347166333e-6	3.874755280502145e-5	2.194184033110864e-5	2698	tags=47%, list=25%, signal=36%
BP	GO:0016072	rRNA metabolic process	154	-0.47852419736419133	-2.2940093621880564	1.6647189455004312e-6	3.874755280502145e-5	2.194184033110864e-5	1864	tags=37%, list=17%, signal=31%
BP	GO:0006310	DNA recombination	151	-0.4380003645086451	-2.093917786035267	1.6666694444490742e-6	3.874755280502145e-5	2.194184033110864e-5	2664	tags=46%, list=25%, signal=35%
MF	GO:0016741	transferase activity, transferring one-carbon groups	150	-0.42026600865513164	-2.0071018516381853	1.66749485577837e-6	3.874755280502145e-5	2.194184033110864e-5	2311	tags=38%, list=22%, signal=30%
BP	GO:1902749	regulation of cell cycle G2/M phase transition	146	-0.41263954226159805	-1.9631057924252724	1.6697668671500085e-6	3.874755280502145e-5	2.194184033110864e-5	1838	tags=37%, list=17%, signal=31%
MF	GO:0008168	methyltransferase activity	143	-0.4278395907150087	-2.028999472966721	1.671841014606875e-6	3.874755280502145e-5	2.194184033110864e-5	2311	tags=38%, list=22%, signal=31%
BP	GO:0071826	ribonucleoprotein complex subunit organization	140	-0.4949373297570494	-2.3396109216373895	1.675266367352409e-6	3.874755280502145e-5	2.194184033110864e-5	2948	tags=49%, list=27%, signal=36%
CC	GO:0005681	spliceosomal complex	135	-0.5046480820837433	-2.373108982506508	1.6768591756895664e-6	3.874755280502145e-5	2.194184033110864e-5	3013	tags=54%, list=28%, signal=39%
BP	GO:0051236	establishment of RNA localization	135	-0.4625660957690402	-2.1752183270763226	1.6768591756895664e-6	3.874755280502145e-5	2.194184033110864e-5	2698	tags=45%, list=25%, signal=34%
BP	GO:0006302	double-strand break repair	134	-0.46805450223854145	-2.198499793932348	1.6779452553580986e-6	3.874755280502145e-5	2.194184033110864e-5	2854	tags=51%, list=27%, signal=38%
BP	GO:0050657	nucleic acid transport	132	-0.4541637645253444	-2.128198833685342	1.6799692229638354e-6	3.874755280502145e-5	2.194184033110864e-5	2698	tags=44%, list=25%, signal=33%
BP	GO:0050658	RNA transport	132	-0.4541637645253444	-2.128198833685342	1.6799692229638354e-6	3.874755280502145e-5	2.194184033110864e-5	2698	tags=44%, list=25%, signal=33%
BP	GO:0022618	ribonucleoprotein complex assembly	130	-0.5071747319004484	-2.370793429607029	1.6819811046242707e-6	3.874755280502145e-5	2.194184033110864e-5	2919	tags=50%, list=27%, signal=37%
BP	GO:0140053	mitochondrial gene expression	128	-0.48648197553497985	-2.2684400358359733	1.6840743821973129e-6	3.874755280502145e-5	2.194184033110864e-5	3396	tags=50%, list=32%, signal=35%
BP	GO:0006364	rRNA processing	124	-0.5060923786029228	-2.348228785379676	1.6872995277248622e-6	3.874755280502145e-5	2.194184033110864e-5	1864	tags=39%, list=17%, signal=32%
BP	GO:0006399	tRNA metabolic process	124	-0.5112635452474306	-2.372222591415937	1.6872995277248622e-6	3.874755280502145e-5	2.194184033110864e-5	3193	tags=56%, list=30%, signal=40%
BP	GO:0006479	protein methylation	122	-0.4845144557501794	-2.242439835895842	1.6887213677292102e-6	3.874755280502145e-5	2.194184033110864e-5	3231	tags=52%, list=30%, signal=37%
BP	GO:0008213	protein alkylation	122	-0.4845144557501794	-2.242439835895842	1.6887213677292102e-6	3.874755280502145e-5	2.194184033110864e-5	3231	tags=52%, list=30%, signal=37%
BP	GO:0031047	gene silencing by RNA	113	-0.44665771257951437	-2.041534745992771	1.697184879440472e-6	3.874755280502145e-5	2.194184033110864e-5	2711	tags=44%, list=25%, signal=33%
BP	GO:0032543	mitochondrial translation	109	-0.4957343108545865	-2.2522852186449733	1.701719246955199e-6	3.874755280502145e-5	2.194184033110864e-5	3396	tags=50%, list=32%, signal=35%
MF	GO:0008757	S-adenosylmethionine-dependent methyltransferase activity	108	-0.4532253578348286	-2.0559420170757736	1.702620332692013e-6	3.874755280502145e-5	2.194184033110864e-5	2286	tags=40%, list=21%, signal=32%
CC	GO:0000781	chromosome, telomeric region	105	-0.46805972742634305	-2.1137060854386887	1.7039432655050318e-6	3.874755280502145e-5	2.194184033110864e-5	3137	tags=52%, list=29%, signal=37%
BP	GO:0051028	mRNA transport	105	-0.47240631627607205	-2.133334801100875	1.7039432655050318e-6	3.874755280502145e-5	2.194184033110864e-5	2539	tags=46%, list=24%, signal=35%
BP	GO:0006405	RNA export from nucleus	96	-0.4811180809126023	-2.1398960395326045	1.7113031573543253e-6	3.874755280502145e-5	2.194184033110864e-5	2539	tags=45%, list=24%, signal=35%
BP	GO:0009451	RNA modification	94	-0.555328003093111	-2.460655493467776	1.7139928663616902e-6	3.874755280502145e-5	2.194184033110864e-5	2588	tags=59%, list=24%, signal=45%
BP	GO:0098781	ncRNA transcription	93	-0.5289919474894972	-2.3396303907697766	1.7149775852429608e-6	3.874755280502145e-5	2.194184033110864e-5	2699	tags=52%, list=25%, signal=39%
BP	GO:0016571	histone methylation	91	-0.48809951770227034	-2.1503154207808133	1.7172187238660775e-6	3.874755280502145e-5	2.194184033110864e-5	3231	tags=56%, list=30%, signal=40%
BP	GO:0071166	ribonucleoprotein complex localization	90	-0.4919934387144321	-2.163447772957425	1.7178588607160037e-6	3.874755280502145e-5	2.194184033110864e-5	2539	tags=46%, list=24%, signal=35%
BP	GO:0071426	ribonucleoprotein complex export from nucleus	90	-0.4919934387144321	-2.163447772957425	1.7178588607160037e-6	3.874755280502145e-5	2.194184033110864e-5	2539	tags=46%, list=24%, signal=35%
BP	GO:0006415	translational termination	89	-0.5001446878008652	-2.1948359512663163	1.7190519084914288e-6	3.874755280502145e-5	2.194184033110864e-5	3467	tags=52%, list=32%, signal=35%
BP	GO:0006354	DNA-templated transcription, elongation	88	-0.5278367488907255	-2.311690994145671	1.7201963088027607e-6	3.874755280502145e-5	2.194184033110864e-5	3545	tags=65%, list=33%, signal=44%
BP	GO:0006289	nucleotide-excision repair	82	-0.4970701864745895	-2.149749828312123	1.7256821189995876e-6	3.874755280502145e-5	2.194184033110864e-5	1997	tags=41%, list=19%, signal=34%
BP	GO:0006406	mRNA export from nucleus	82	-0.5007550320672035	-2.1656862018779184	1.7256821189995876e-6	3.874755280502145e-5	2.194184033110864e-5	1554	tags=46%, list=14%, signal=40%
BP	GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus	82	-0.5007550320672035	-2.1656862018779184	1.7256821189995876e-6	3.874755280502145e-5	2.194184033110864e-5	1554	tags=46%, list=14%, signal=40%
MF	GO:0140101	catalytic activity, acting on a tRNA	79	-0.5412593125786449	-2.324613426727694	1.7289880405897233e-6	3.874755280502145e-5	2.194184033110864e-5	3090	tags=57%, list=29%, signal=41%
BP	GO:0008033	tRNA processing	78	-0.5122301747261022	-2.1948527829149302	1.7294694679460128e-6	3.874755280502145e-5	2.194184033110864e-5	3354	tags=60%, list=31%, signal=42%
CC	GO:0000313	organellar ribosome	73	-0.5205915807534868	-2.2023958228390543	1.7360146658518972e-6	3.874755280502145e-5	2.194184033110864e-5	2824	tags=45%, list=26%, signal=34%
CC	GO:0005761	mitochondrial ribosome	73	-0.5205915807534868	-2.2023958228390543	1.7360146658518972e-6	3.874755280502145e-5	2.194184033110864e-5	2824	tags=45%, list=26%, signal=34%
CC	GO:0030880	RNA polymerase complex	73	-0.5294517023585871	-2.2398791313179887	1.7360146658518972e-6	3.874755280502145e-5	2.194184033110864e-5	4038	tags=73%, list=38%, signal=46%
CC	GO:0000428	DNA-directed RNA polymerase complex	72	-0.5313035333088627	-2.2418468068001847	1.7369373625648313e-6	3.874755280502145e-5	2.194184033110864e-5	2582	tags=72%, list=24%, signal=55%
CC	GO:0055029	nuclear DNA-directed RNA polymerase complex	72	-0.5313035333088627	-2.2418468068001847	1.7369373625648313e-6	3.874755280502145e-5	2.194184033110864e-5	2582	tags=72%, list=24%, signal=55%
CC	GO:0071013	catalytic step 2 spliceosome	71	-0.5215306666733589	-2.1951694670121213	1.7375258674163512e-6	3.874755280502145e-5	2.194184033110864e-5	2948	tags=54%, list=27%, signal=39%
BP	GO:0016073	snRNA metabolic process	69	-0.5689871447177283	-2.3812604183420403	1.7402714475403873e-6	3.874755280502145e-5	2.194184033110864e-5	2921	tags=61%, list=27%, signal=45%
BP	GO:0009301	snRNA transcription	66	-0.5706133283242448	-2.367566975937317	1.7424850973962046e-6	3.874755280502145e-5	2.194184033110864e-5	2699	tags=58%, list=25%, signal=43%
CC	GO:0005684	U2-type spliceosomal complex	65	-0.5816696858158037	-2.406185401065942	1.7437399734951524e-6	3.874755280502145e-5	2.194184033110864e-5	2469	tags=57%, list=23%, signal=44%
BP	GO:0042795	snRNA transcription by RNA polymerase II	65	-0.5718301562798521	-2.3654823475974465	1.7437399734951524e-6	3.874755280502145e-5	2.194184033110864e-5	2699	tags=58%, list=25%, signal=44%
CC	GO:0034708	methyltransferase complex	64	-0.6102896610234367	-2.5171893480913643	1.7443178844912696e-6	3.874755280502145e-5	2.194184033110864e-5	2993	tags=62%, list=28%, signal=45%
CC	GO:1905369	endopeptidase complex	52	-0.5894355773066254	-2.3291585620999036	1.7584643682365065e-6	3.874755280502145e-5	2.194184033110864e-5	2472	tags=71%, list=23%, signal=55%
CC	GO:0000502	proteasome complex	51	-0.5854582039562743	-2.3039584713608527	1.7593584675284004e-6	3.874755280502145e-5	2.194184033110864e-5	2472	tags=71%, list=23%, signal=55%
BP	GO:0001510	RNA methylation	43	-0.6469257922747275	-2.4525431081986517	1.7698864440857474e-6	3.874755280502145e-5	2.194184033110864e-5	1447	tags=49%, list=13%, signal=42%
MF	GO:0008173	RNA methyltransferase activity	37	-0.6367807501730764	-2.3325965126262536	1.7779452997349083e-6	3.874755280502145e-5	2.194184033110864e-5	1891	tags=51%, list=18%, signal=42%
BP	GO:0018149	peptide cross-linking	14	0.8380203099694927	2.443850831459508	2.2181556036155937e-6	3.874755280502145e-5	2.194184033110864e-5	1489	tags=71%, list=14%, signal=62%
CC	GO:0098644	complex of collagen trimers	14	0.8086701083822067	2.358259213095027	2.2181556036155937e-6	3.874755280502145e-5	2.194184033110864e-5	1522	tags=86%, list=14%, signal=74%
BP	GO:0006953	acute-phase response	19	0.779908526657446	2.4840529169658816	2.2366911286119768e-6	3.874755280502145e-5	2.194184033110864e-5	1198	tags=68%, list=11%, signal=61%
MF	GO:0042605	peptide antigen binding	19	0.7544496880042741	2.402965071074498	2.2366911286119768e-6	3.874755280502145e-5	2.194184033110864e-5	2088	tags=79%, list=19%, signal=64%
MF	GO:0001968	fibronectin binding	20	0.782896218008657	2.5289478320360113	2.238984754752805e-6	3.874755280502145e-5	2.194184033110864e-5	1813	tags=80%, list=17%, signal=67%
BP	GO:0002691	regulation of cellular extravasation	20	0.7329008281818252	2.367450394947915	2.238984754752805e-6	3.874755280502145e-5	2.194184033110864e-5	1434	tags=55%, list=13%, signal=48%
BP	GO:0002548	monocyte chemotaxis	21	0.7136427622040096	2.3363488722971613	2.241398632746834e-6	3.874755280502145e-5	2.194184033110864e-5	1284	tags=52%, list=12%, signal=46%
MF	GO:0005520	insulin-like growth factor binding	21	0.7643870964668708	2.5024774654946276	2.241398632746834e-6	3.874755280502145e-5	2.194184033110864e-5	1815	tags=71%, list=17%, signal=59%
BP	GO:0072012	glomerulus vasculature development	21	0.7318736383473374	2.3960337583133904	2.241398632746834e-6	3.874755280502145e-5	2.194184033110864e-5	2119	tags=71%, list=20%, signal=57%
BP	GO:0030574	collagen catabolic process	23	0.7122039247062604	2.39005906202659	2.2482671480956054e-6	3.874755280502145e-5	2.194184033110864e-5	1147	tags=57%, list=11%, signal=51%
BP	GO:0061437	renal system vasculature development	23	0.7079675957345287	2.375842520812234	2.2482671480956054e-6	3.874755280502145e-5	2.194184033110864e-5	2119	tags=65%, list=20%, signal=52%
BP	GO:0061440	kidney vasculature development	23	0.7079675957345287	2.375842520812234	2.2482671480956054e-6	3.874755280502145e-5	2.194184033110864e-5	2119	tags=65%, list=20%, signal=52%
MF	GO:0030020	extracellular matrix structural constituent conferring tensile strength	25	0.7499471917725415	2.573766344953131	2.252856058267869e-6	3.874755280502145e-5	2.194184033110864e-5	2068	tags=84%, list=19%, signal=68%
MF	GO:0043394	proteoglycan binding	25	0.7839016728094729	2.6902957506392164	2.252856058267869e-6	3.874755280502145e-5	2.194184033110864e-5	1691	tags=76%, list=16%, signal=64%
BP	GO:0150077	regulation of neuroinflammatory response	25	0.7200143205978647	2.4710388232257516	2.252856058267869e-6	3.874755280502145e-5	2.194184033110864e-5	1323	tags=68%, list=12%, signal=60%
BP	GO:0030195	negative regulation of blood coagulation	27	0.7497441528151738	2.6260824617370213	2.257178391579822e-6	3.874755280502145e-5	2.194184033110864e-5	1747	tags=70%, list=16%, signal=59%
BP	GO:0050819	negative regulation of coagulation	28	0.7534513390260752	2.6635760616337176	2.260607334766558e-6	3.874755280502145e-5	2.194184033110864e-5	1747	tags=71%, list=16%, signal=60%
BP	GO:1900047	negative regulation of hemostasis	28	0.7550647024166178	2.6692795701195084	2.260607334766558e-6	3.874755280502145e-5	2.194184033110864e-5	1747	tags=71%, list=16%, signal=60%
MF	GO:0008528	G protein-coupled peptide receptor activity	29	0.689541807420953	2.4595355770672778	2.2634471394555053e-6	3.874755280502145e-5	2.194184033110864e-5	1788	tags=55%, list=17%, signal=46%
BP	GO:0045933	positive regulation of muscle contraction	29	0.658086605743923	2.347337612018798	2.2634471394555053e-6	3.874755280502145e-5	2.194184033110864e-5	2160	tags=69%, list=20%, signal=55%
MF	GO:0001653	peptide receptor activity	30	0.6746276942928139	2.427373042506122	2.2666177077241797e-6	3.874755280502145e-5	2.194184033110864e-5	1788	tags=53%, list=17%, signal=45%
MF	GO:0005179	hormone activity	31	0.763040535212471	2.7682135782984036	2.2693181379790812e-6	3.874755280502145e-5	2.194184033110864e-5	1819	tags=77%, list=17%, signal=64%
BP	GO:0006956	complement activation	31	0.6670514582744587	2.419977470403892	2.2693181379790812e-6	3.874755280502145e-5	2.194184033110864e-5	2231	tags=74%, list=21%, signal=59%
MF	GO:0050840	extracellular matrix binding	31	0.65269607792834194	2.3678979845025396	2.2693181379790812e-6	3.874755280502145e-5	2.194184033110864e-5	1845	tags=55%, list=17%, signal=46%
BP	GO:0071675	regulation of mononuclear cell migration	31	0.7014752074593383	2.544862434586022	2.2693181379790812e-6	3.874755280502145e-5	2.194184033110864e-5	1524	tags=65%, list=14%, signal=56%
BP	GO:0098900	regulation of action potential	33	0.6420844746755054	2.3655173678572434	2.273709101657534e-6	3.874755280502145e-5	2.194184033110864e-5	2887	tags=67%, list=27%, signal=49%
MF	GO:0004896	cytokine receptor activity	34	0.6520576887343243	2.4193537615561116	2.276690784411043e-6	3.874755280502145e-5	2.194184033110864e-5	1980	tags=53%, list=18%, signal=43%
BP	GO:0030199	collagen fibril organization	34	0.7658540021742105	2.8415764325384965	2.276690784411043e-6	3.874755280502145e-5	2.194184033110864e-5	1197	tags=71%, list=11%, signal=63%
BP	GO:0048662	negative regulation of smooth muscle cell proliferation	35	0.6544189123956448	2.4452919266607798	2.2797998335746122e-6	3.874755280502145e-5	2.194184033110864e-5	814	tags=34%, list=8%, signal=32%
BP	GO:0007189	adenylate cyclase-activating G protein-coupled receptor signaling pathway	36	0.6195462784548835	2.3309432911178476	2.2823754964166703e-6	3.874755280502145e-5	2.194184033110864e-5	2093	tags=58%, list=19%, signal=47%
MF	GO:0003823	antigen binding	37	0.6482425501063448	2.4545610749142948	2.2854269748945845e-6	3.874755280502145e-5	2.194184033110864e-5	2231	tags=65%, list=21%, signal=52%
BP	GO:0072376	protein activation cascade	37	0.6692963147437936	2.5342808513328765	2.2854269748945845e-6	3.874755280502145e-5	2.194184033110864e-5	2053	tags=70%, list=19%, signal=57%
BP	GO:0072577	endothelial cell apoptotic process	37	0.6086064593085038	2.304479588257504	2.2854269748945845e-6	3.874755280502145e-5	2.194184033110864e-5	2225	tags=54%, list=21%, signal=43%
BP	GO:0150076	neuroinflammatory response	37	0.6307912129290665	2.3884818381632904	2.2854269748945845e-6	3.874755280502145e-5	2.194184033110864e-5	2053	tags=68%, list=19%, signal=55%
BP	GO:0043030	regulation of macrophage activation	39	0.6213035067765211	2.3824744556628925	2.2912341962121315e-6	3.874755280502145e-5	2.194184033110864e-5	1581	tags=56%, list=15%, signal=48%
CC	GO:0044420	extracellular matrix component	39	0.735479916529221	2.8202997322115917	2.2912341962121315e-6	3.874755280502145e-5	2.194184033110864e-5	1594	tags=69%, list=15%, signal=59%
BP	GO:1903524	positive regulation of blood circulation	39	0.6156752165548647	2.3608919963078434	2.2912341962121315e-6	3.874755280502145e-5	2.194184033110864e-5	2054	tags=62%, list=19%, signal=50%
BP	GO:0019233	sensory perception of pain	40	0.5892991986371808	2.273683640311051	2.292862776748537e-6	3.874755280502145e-5	2.194184033110864e-5	1212	tags=42%, list=11%, signal=38%
BP	GO:0061045	negative regulation of wound healing	41	0.6506739189067224	2.5248643807443902	2.294246259805035e-6	3.874755280502145e-5	2.194184033110864e-5	2256	tags=61%, list=21%, signal=48%
BP	GO:0071674	mononuclear cell migration	41	0.6863857748520252	2.6634400796106847	2.294246259805035e-6	3.874755280502145e-5	2.194184033110864e-5	1524	tags=59%, list=14%, signal=50%
BP	GO:0002673	regulation of acute inflammatory response	42	0.6074217632862292	2.3704105598870306	2.2961268931566236e-6	3.874755280502145e-5	2.194184033110864e-5	2088	tags=57%, list=19%, signal=46%
BP	GO:0034113	heterotypic cell-cell adhesion	42	0.5955734214004552	2.3241734369837537	2.2961268931566236e-6	3.874755280502145e-5	2.194184033110864e-5	2210	tags=52%, list=21%, signal=42%
BP	GO:0032651	regulation of interleukin-1 beta production	43	0.6311252846605908	2.4758213074765654	2.2988822834337943e-6	3.874755280502145e-5	2.194184033110864e-5	1508	tags=53%, list=14%, signal=46%
BP	GO:0045123	cellular extravasation	43	0.6723642569070565	2.63759636017651	2.2988822834337943e-6	3.874755280502145e-5	2.194184033110864e-5	1496	tags=53%, list=14%, signal=46%
BP	GO:0072132	mesenchyme morphogenesis	43	0.6017222996263724	2.3604772725908747	2.2988822834337943e-6	3.874755280502145e-5	2.194184033110864e-5	2524	tags=63%, list=23%, signal=48%
BP	GO:1904427	positive regulation of calcium ion transmembrane transport	43	0.5747699737293887	2.2547468504961707	2.2988822834337943e-6	3.874755280502145e-5	2.194184033110864e-5	2100	tags=42%, list=20%, signal=34%
